,comment,label,Unnamed: 0
47,"📌 quy trình sử dụng thư viện số 📖 thư viện số ptit là công cụ hữu ích cho việc học tập, nghiên cứu, và nâng cao kiến thức cá nhân, đặc biệt đối với sinh viên ptit. 👉 tân sinh viên d24 đã biết cách đăng nhập thư viện số của học viện hoàng gia ptit chưa nào? cùng chúng mình tìm hiểu dưới đây nhé! bước 1: truy cập dlib.ptit.edu.vn bước 2: đăng nhập tài khoản. bước 3: tìm tài liệu theo bộ sưu tập/ tác giả/ tên tài liệu... (lưu ý để trong dấu “ngoặc kép” để tìm tài liệu sát hơn với yêu cầu) bước 4: vào mục xem trực tuyến để xem tài liệu. 🆕 đặc biệt - các bạn đọc là tân sinh viên d24 đã được tạo và phân quyền truy cập theo nhóm quyền của sinh viên trên hệ thống của thư viện số ptit tài khoản mặc định của các bạn là email do học viện cấp, mật khẩu là email viết thường. ví dụ: tài khoản: anmtb.b24ac001@stu.ptit.edu.vn mật khẩu: anmtb.b24ac001@stu.ptit.edu.vn xem tiếp các ảnh, chúng mình sẽ mách tips tận dụng tối đa những tiện ích của thư viện số, giúp các bạn tiết kiệm thời gian và nâng cao hiệu quả học tập nhé. 🚩 đăng ký ngay theo link form dưới đây để trở thành một phần của ilc - cộng tác viên hỗ trợ thư viện ptit: https://forms.gle/shqdnj7f8uqbvzot9 🚩 thời gian đăng ký: 06/09/2024 - 20/09/2024 ___________________________________ mọi thắc mắc vui lòng liên hệ: ▶️ fanpage: https://www.facebook.com/ptitl ▶️ email: ilcptit@gmail.com ▶️ hotline: 0396 462 781 cre : page thư viện ptit",spam,
48,công dụng:tốt bao bì/mẫu mã:tạm cọ bên ngoài nhỏ lắm đc cái lông mịn 😄😄😄😄😄😄😄😄😄😊😊😊😊😊😊😊,positive,
49,"công dụng:co tan bao bì/mẫu mã:ổn bộ cọ 9 món, đầu lông khá mềm. nhận sản phẩm khi mặt đang không được dùng mỹ phẩm nên chưa thử dùng trên mặt",neutral,
50,công dụng:trang điểm bao bì/mẫu mã:bình thường hàng giao hơi lâu đó vận chuyển từ nước ngoài về. chổi loại bt chắc do giá rẻ. lông cũng mềm. 9 món nhưng ko có chổi mắt nhỏ mà 4 cái gần giống nhau. giá rẻ.,negative,
51,"cọ xinh, cầm chắc tay, lông mềm dùng lên mặt mềm nha. đương nhiên là sẽ k thể mềm và trơn như loại 2-end mấy trăm đâu",positive,
52,"công dụng:cọ trang điểm bao bì/mẫu mã:không biết sản phẩm đóng gói chắc chắn, sản phẩm phù hợp với giá tiền.",positive,
53,dùng được 2 tuần thì thấy tóc ko mọc mà mình còn bị rụng tóc con nữa da đầu thấy hơi rát với bị mọc mụn da đầu tóc dễ bết nữa mùi nghe như bưởi bị hư v 🥲,negative,
54,"mình xịt dc 1 chai, chai đầu tiên ko bị vấn đề gì, thấy sp ko bị bết tóc nên chai cũ gần hết đặt chai mới. chai mới này xịt lên lần thứ 1 tối hôm đó da đầu bị nóng rát kinh khủng.. xong sáng hôm sau hết rát. nay tối mình xịt chai mới nữa thì da đầu cũng bị nóng rát như lần trc ??? mà 2 tháng trc xài chai cũ ko hề bị ?? shop có gửi hàng chính hãng ko vậy ?",negative,
55,"dành cho tóc:tóc rụng nhiều mùi hương:mùi bưởi công dụng:mọc tóc, ngăn rụng tóc giao hàng nhanh đóng gói cẩn thận 1 điểm trừ là cái nắp nó không đóng lại được á sau 1 thời gian dụng nó rụng hết tóc chứ có tác dụng gì đâu huhu",neutral,
56,"góc cảnh báo cho mọi người chuẩn bị mua sản phẩm🆘❌❗️ mọi người ơi mình đã sử dung em xịt tóc này được 2 ngày rồi, theo như công dụng trên sản phẩm có nói, em này giúp tóc chắc khoẻ, giúp phục hồi tóc khô, bị chẻ ngọn, hư tổn. nhưng thật sự sản phẩm không hề giúp tóc chắc khoẻ, mà nó còn làm cho tóc tôi ngày càng gẫy rụng. khi xịt lên tóc tôi đã massage nhẹ từ 3-4 phút giống như giấy hướng dẫn sử dụng, nhưng khi tôi mới vuốt tóc thì một núm tóc của tôi đã rụng ra, hiện nay tôi thật sự rất bức xúc. cảnh cáo mọi người cân nhắc trước khi mua sản phẩm🚫 nm",negative,
57,"giao hàng vòi xịt ko có , coi kĩ hình như bị cắt vậy ! chất lượng thì chưa rõ nhưng giao hàng ko có tâm! ko có vòi xịt sao mà xài",negative,
58,công dụng:good giao hàng nhanh. đặt 2 chai thì cả hai đề bị gãy vòi pump. khui ra thì thấy vòi móp cậy sao mà gắn vô chai. hình đầu thấy rõ hộp k hề bị móp méo hay gì. shop biết bị như vậy nhưng vẫn giao cho khách. quá thất vọng. trước đặt bên các chỗ khác k sao. đặt bên này thì bị như vậy.,negative,
59,"lợi ích:quá tệ không có tác dụng gì👎🏾 đã sử dụng 1 tuần và quay lại feedback, *********👎🏾dislike👎🏾********** bị nổi gàu và mọc mụn da đầu dù trước giờ chưa từng bị, đang sử dụng cocoon ko thấy có tác dụng xem tiktok mua sài thử , ai dè rước hoạ vào thân, sài cocoon ko có tăc dụng nhưng ít ra ko bị như vậy quá tệ👎🏾👎🏾👎🏾👎🏾",negative,
60,"làm đẹp:bth kinh nghiệm sử dụng:bth hương thơm:bth nắp chai xịt đóng rất bất tiện mỗi lần mún đóng là phải rút cái xịt ra, cái xịt lúc xịt đc lúc kh, lúc thì chạy tè le, chất lượng sp không dc như phiên bản cũ !!!!! về phần xịt diện mạo thì cũng k dc cải thiện vòi xịt bị nghẹt lúc xịt ra lúc k lúc chảy tè le",negative,
61,"mẫu mã sản phẩm rất tốt, tinh dầu vừa giá tiền. nhưng phần nắp khi gắn vòi xịt không có nắp để đậy lại dễ bay hơi tinh dầu, bất tiện khi mang theo. live thì bảo trước ngày 13/11 đã đổi đầu vòi mình đặt ngày 15 vẫn giữ vòi cũ . liên hệ trên live shop không thèm tl cũng không gửi lại vòi cho khách hành",negative,
62,mùi hương:bưởi mình để khô tóc xong xịt vào chân tóc. lúc đầu thì nó dính lắm. xong xoa tóc 1 lúc thì bết hết cả tóc. vẫn rụng tóc nhiều kinh khủng. dùng được 1 tháng mà không thấy hiệu quả,negative,
63,công dụng:mọc tóc mùi hương:thơm bưởi dùng được 1 tuần nay kh thấy tóc mọc ngăng rụng tóc vẫn rụng kh thấy có tiến triển gì quá tệ,negative,
64,"công dụng:làm dài tóc dày tóc, tó chắn khoẻ mùi hương:thơm mùi cam bưởi dành cho tóc:tóc nào cũng được mình đã dùng tới nửa chai nhưng 1 ít công dụng cũng không thấy, tóc vẫn mọc chậm và không lên tóc con",negative,
65,giao hàng nhanh lắm nha. chất lượng chưa sài nên chưa biết bao bì đẹp còn tặng thêm túi để đựng làm quà. cái đầu xịt lúc mình nhận nó bị móp may mà bẻ lại được.sau gần 1 tháng sài thì mình thấy chả có tác dụng gì không mọc được 1 cọng nữa,negative,
66,"mùi hương thơm, k biết shop đóng gói như nào nhận hàng về thì bị gãy vòi thì sao xịt dc",negative,
67,shop gói hàng hay quá vơi đi hết 1 nửa của mình luôn. ướt nhẹp cái hộp đóng gói hay ghê 🙂 thấy mùi cũng khác với chai mình mua ở shop khác nữa.,negative,
68,dành cho tóc:bị hói đỉnh đầu và chỗ mai tóc công dụng:mới mua chưa sd bao giờ mùi hương:ok nha đặc mùi bưởi và ko quá hắc đóg gói rất ok - được tặng 1 cái kẹp tóc bao bì sp cầm rất chắc tay nói chung nhìn thấy đẹp mắt kèm theo tờ hướng dẫn sử dụng như hình minh họa và cái vòi xịt mượt mê vờ lờ,positive,
69,"công dụng:xịt tóc mùi hương:bưởi dành cho tóc:all gói hành chỉnh chu , mở ra là nghe mùi thơm liền , chắc tay , nắp vặn chắc chắn , vòi xịt xịn , chất lượng , cho shop 10 điểm",positive,
70,"dành cho da:mọi loại da công dụng:dưỡng tóc, mọc tóc mùi hương:mùi bưởi nhè nhè hơi nồng cồn xịt lên tóc thấy cũng bóng tóc và mượt, rep ib khách nhanh- shop thân thiện, tư vấn kĩ 10/10⭐",positive,
71,"dành cho tóc:hu ton công dụng:kich thich moc tic mùi hương:thom có nhiều người khen nên mua dùng thử, mong la sử dụng hiệu quả, kích thích mọc tóc và giúp tóc chắc khoẻ",positive,
72,"mùi hương:thơm công dụng:kích mọc tóc dành cho tóc:mọi loại tóc giao hàng nhanh đóng gói cẩn thận chu đáo còn đc tặng thêm dây buộc tóc xinh lắm nha, còn có thu cảm ơn và túi của hãy để có thể đen đi tặng quà á ncl nên mua nnhaaaaaa",positive,
73,"bao bì tối giản trông rất xinh mad đã đưa mình tới sản phẩm này, hy vọng sẽ hợp sản phẩm ạ giao hàng nhanh mùa hương dễ chịu, mới xịt được 1 lần để sau 1 tháng nữa mình sẽ cập nhật lại ạ 11/8/2023",positive,
74,"lợi ích:kích mọc tóc hương thơm:hương thơm thư giãn bao bì:10/10 shop gói hàng rất kĩ, mình đã sử dụng nhiều lần và không bị bết tóc mặc dù da mình siêu dầu. cảm ơn shop sẽ giới thiệu sp cho bạn bè và người thân",positive,
75,"công dụng:mọc tóc mùi hương:thơm nghe mng bảo là xịt lên bị rát da đầu nma hnay t xịt thử thì thấy êm lắm, mùi thơm cực, packaging sang xỉu luôn ấy.",positive,
76,"công dụng:nhanh mọc tóc mùi hương:thơm dành cho da:k hàng nhãn mác đầy đủ, shop còn tặng thêm cái vòng cute nữa. đáng mua nhé mọi người",positive,
77,dành cho tóc:khô sơ mùi hương:bưởi công dụng:phục hồi kích mọc tóc mình thấy đóng gói khá ổn và chắc chắn còn được tặng quà nữa nha siu đáng iu mùi bưởi siu thơm mình đc bạn giới thiệu gì dùng quá là oki mà mình săn đc với giá quá là hợp lý nên mua nha mn,positive,
78,"bao bì:đẹp và chỉn chu shop chuẩn bị hàng và giao cực kì nhanh, gói hàng cẩn thận. mình được tặng kèm túi và đồ cột tóc nữa hehe cho shop một điểm cộng liền 😍 sản phẩm mở ra có mùi thơm nhẹ của vỏ bưởi, có kèm theo nắp dạng xịt nên rất tiện để sử dụng. ấn tượng với shop tốt nên sau khi sử dụng hết mình sẽ quay lại mua tiếp. iu shop❤",positive,
79,"công dụng:dưỡng ẩm da đầu , giảm rụng , kích mọc tóc mùi hương:hương ngọt bưởi dành cho da:mọi loại da đầu shop phục vụ nhiệt tình tặng tận 3 cái vòi xịt để có hư mà thay, hàng chất lượng , uy tín , hiệu quả sau hơn 1 tuần sử dụng , giúp mọc tóc con rất nhiều nha mọi người , giá cả tuyệt vời luôn <3",positive,
80,"công dụng:moc toc mùi hương:vỏ bưởi có hiệu quả đó mn . mình mua lần 2. nhưng đừng thần thánh hóa nó quá, hạn chế thức khuya. tóc lên từ từ không quá rõ rệt ( vì mình mới dùng 1 lọ thôi ). vòi xịt mình thấy xịn và mượt hơn các hãng khác mà ng quen mình dùng. mình chụp với ip7 để mn biết kích cỡ cho dễ hình dung. bao bì hộp rất chỉnh chu",positive,
81,"mùi hương:cam, bưởi dành cho da:đầu công dụng:mọc tóc hàng giao nhanh, gói hàng kĩ. shop chu đáo có cb giấy hướng dẫn sử dụng và thiệp cảm ơn. có quà tặng dth, an tâm vì xác nhận shop bán hàng thật. chưa sử dụng nên hok biết tác dụng thế nào, mọc tóc đỉnh thì mik sẽ ủng hộ tiếp",positive,
82,công dụng:xịt tóc mùi hương:thơm dành cho da:đầu sảng phẩm rất thơm ạ tặng dầu xịt thêm nhiều shop rất có tâm mùi rất thơm nhưng chưa sữ dụng nếu sữ dụng tốt sẽ ủng hộ tiếp❤️❤️❤️,positive,
83,"mẹo:làm theo công thức là ra=)) kinh nghiệm sử dụng:biết dùng mới mua chứ cần gì kinh nghiệm bao bì:đẹp kẹp mi giá rẻ mà chắc chắn. đẹp, kẹp công mi lắm nha, có thêm miếng gì đó silicon gì đó để thay:() giao hàng nhanh 10 điểm nên mua k mua này thì mua cái khác:()",positive,
84,"bao bì/mẫu mã:focallure công dụng:làm cong mi rất tốt nha kh bị cứng như mấy loại kia tui săn chỉ còn 10k á,có tặng đầu thay luôn nha",positive,
85,"công dụng:bấm mi bao bì/mẫu mã:tốt giao hàng nhanh, shop tư vấn nhiệt tình lắm nha, sản phẩm như hình, giá rẻ nhưng chất lượng rất tốt nhé",positive,
86,"thấy giá rẻ mà bấm rất cong nha, mi mình hay duỗi lắm mà cái này giữ rất lâu nha, mình k hề chuốt mas luôn mà giữ 2-3h . mặt nhỏ cũng bấm đc luôn vừa luôn. 100 điểm",positive,
87,"bao bì/mẫu mã:bao bi dep công dụng:bam mi cong, kẹp mi sản phẩm có kèm thêm 1 miết silicon dự phòng, sản phẩm rất ok giá rẻ",positive,
88,"bao bì/mẫu mã:đẹp công dụng:cong mi giao hàng nhanh ko bóp méo,sản phẩm như mô tả,bấm chắc tay,một phát ăn luôn,không bị gãy mi,ôm không rộng lắm,nói chung giá rẻ nên được vậy là rất ổn 👍,shop siêu dễ thương,nhiệt tình 😘",positive,
89,"bao bì:ok kinh nghiệm sử dụng:ok mẹo:ok lần đầu mua, chưa dùng thử. mong trải nghiệm ok. săn sale nên giá cả cũng hợp lí.",positive,
90,"bao bì:đẹp kinh nghiệm sử dụng:mua về bấm ko cần kinh nghiệm mẹo:để vô mi rồi bấm kẹp đẹp, giá rẻ, chắc chắn, kẹp dễ sử dụng, đc tặng thêm miếng đệm silicon, nên mua nhaa",positive,
91,"công dụng:bấm mi bao bì/mẫu mã:kĩ hàng nhận về ưng, shop đóng gói kĩ, giao hàng nhanh mới đặt hôm kia hôm nay đã có, sẽ ủng hộ shop lần sau vì nghe nói xài ổn, giá cũng tốt nữa, mình săn sale shop còn tặng kèm mặt nạ cũng oke nha",positive,
92,công dụng:bấm mi bao bì/mẫu mã:bth sản phẩm đẹp hợp giá tiền nên mua nha mọi người hình ảnh chỉ mang tính chất nhận xu,positive,
93,"#son_thạch_ướp_hoa 🌷 💋 bổ sung collagen gấp 4 lần son dưỡng thông thường 💋 khử thâm môi, giúp đôi môi căng bóng hồng hào 💋 bảo vệ đôi môi khỏi tác nhân có hại như tia uva uvb... 💋 sau khi đánh 15s sẽ lên màu hồng baby tự nhiên tổng phân phối ngọc huyền 0899006139",spam,
94,"công dụng:bấm mi rẻ đẹp nhưng nói chung tiền nào của đó , bấm chỉ dừng lại ở mức ổn thoi nha mn , bn nào k có nhiều xiền thì dùng cũng dc",positive,
95,"giao hàng nhanh, đóng gói cẩn thận. kẹp mi khá rẻ, cầm hơi nhẹ tay, có cong mi và giữ đc cũng khá lâu, tầm 2 tiếng nếu ko chuốt mascara, nếu chuốt mascara sẽ giữ đc lâu hơn",positive,
96,bao bì/mẫu mã:đẹp công dụng:kepj mi giá rẻ mà rất ok sài rất ưng cong mi rất tốt nch giá như vầy hợp lý tưởng rẻ mà sài rất ok nhan nói chung nhận hàng rất ưng thân thiện nch mn nên mua nha,positive,
97,"bấm ăn lắm nha bấm cái mi cong liền ý, tui mua lại lần 2 ý, bạn tui nó dùng ké xong thích xu của tui lun kkk, so vs giá tiền thì chất lượng ok lắm ý, nên mua",positive,
98,"kết cấu:sánh mịn độ bền màu:6/10 công dụng:che khuyết điểm chất lượng sản phẩm rất tốt, đóng gói sản phẩm rất đẹp và chắc chắn. sẽ ủng hộ shop lâu dài 💖(đã dùng)",positive,
99,"công dụng:che khuyết điểm độ bền màu:bth chê nhe 🙂 rất chê ạaaa. phí tiền vc -.- k che được cđg cả, được cái nhìn đẹp mắt, bôi lên thì nó sẽ làm trắng da chứ k che được 1 cái gì nhé, test rồi mới dám nói, k nên mua, hàng mall mà như vầy 🙂 tệ, quá tệ.",negative,
100,"bao bì:đẹp hiệu ứng làm đẹp:đc bảng này dùng sẽ lên mụn nha, mng đọc bảng tp sẽ thấy các chất lên mụn nha mng ơi",negative,
101,"lần này hàng về hộp không bị móp như lần trước, che khuyết điểm xinh, giống hình mẫu, tuy nhiên hộp của mình bị mẻ (như video) nên mình thấy không hài lòng",negative,
102,"công dụng:che khuyết điểm độ bền màu:không tốt lắm mình xem review nên mua về dùng thử. hàng giá dẻ nên ko thể đòi hỏi quá nhiều được. mình thấy độ ch phủ chả được cái sất gì hết á, lại còn dễ bị mốc nền nữa. mình không rcm mọi người mua dùng nha, giờ lại thấy hối hận nè😭",negative,
103,hộp che khuyết điểm này thiếu ô màu xanh rồi. còn giống như là ai xài nữa. nhắn tin shop ko trả lời,negative,
104,"công dụng:che khuyết điểm 1. dịch vụ cskh rất kém, mình đã ib để trao đổi thêm nma shop vx ko rep 2. package ko có bọc chống sốc nên bị mủn ở đầu hộp 3. mã qr dán như vậy mk ko có quét đc 4. bảng màu khá ít nma giá như vậy nên mình ko đòi hỏi quá tốt",negative,
105,che khuyết điểm tone cam đánh lên da như tone nâu thường không hiểu màu để làm gì bị lệch tone rất rất nhiều đánh lên ngang da mình luôn ý cực kì thất vọng,negative,
106,"công dụng:che khuyết điểm độ bền màu:ổn cái mong chờ nhất thì lại là cái tệ nhất, đóng gói sản phẩm sơ sài, chỉ duy nhất 1 bao nilong bên ngoài nên hộp bị gãy một bên bản lề, làm đóng phải cẩn thận 😢. triệt sắc dùng ở mức tạm ổn",negative,
107,"đừng thấy quảng cáo rầm rộ mà mua nhé mấy đứa, về k dùng được đâu🙂 bết vcl. xong thái độ của shop thì hãm🙂gửi cho nta cái hộp vỡ luôn, nói thì không giải quyết hihi. đúng là tiền nào của nấy thôi ạ",negative,
108,"công dụng:che khuyết điểm độ bền màu:cực kì kém mẫu mã cực kỳ đẹp, xin lắm luôn, nhưng bền màu cực kỳ kém,",positive,
109,"mình rất mong chờ đẻ nhận hàng nhưng mà shop giao lộn hàng.༎ຶ‿༎ຶ༎ຶ‿༎ຶ(╯︵╰,) dịch bệnh nơi thời gian giao hàng lâu mình không nói. nhưng mà shop giao lộn thành cây son, mà màu lại kén da nên xem như bỏ luôn",negative,
110,hàng của mình về không hiểu sao nó bị đọng nước lại như này mà nhắn tin shop không giải quyết không rep lại :))))),negative,
111,"công dụng:triệt sắc kết cấu:dạng kem độ bền màu:trung bình nói chung bản này với những bạn da trắng sẽ dễ sử dụng hơn, mình da ngâm nên nó cũng không giúp gì được nhiều. nhưng phải dành lời khen cho bỏ hộp nha, trời xinh xinh xỉu, cầm còn chắc tay nữa",positive,
112,công dụng:che khuyết điểm điểm độ bền màu:bình thường làm dịu da cho bạn da dầu tối màu thì ổn nhưng với bạn nào da mụn hoặc vết mụn thâm thì khó che được,negative,
113,độ che phủ trung bình không chia được các đốm mụn và mụn ruồi,neutral,
114,công dụng:che khuyết điểm độ bền màu:bt mình đã nhận được hàng rồi. ship hành quốc tế nhưng khá nhanh. bản naydđể trong hộp rất tốt. thiết kế ổn.❤,positive,
