,comment,label
25,chất lượng sản phẩm:binh thuong,neutral
26,gói hàng rất sơ sài. mình mua cho bố ngồi lái xe thấy cũng đc mong shop đóng gói cẩn thận hơnnn,negative
27,"dùng tạm, cũng ko thấy thoải mái lắm, cổ hơi dày",neutral
28,gối nhận hơi bẩn. rung cũng tạm được so vơi giá,negative
29,"chỉ rung, ko có xoa",negative
30,"đúng với mô tả:đúng chất lượng sản phẩm:tạm ổn mẫu mã đẹp, êm ái, tuy nhiên chế độ mạnh nhất vẫn chưa đã, phải mạnh hơn 1,5 lần hiện tại là ok",positive
31,"giá tốt hơn các shop khác, hỗ trợ chat nhanh, máy đóng gói kĩ, kh hộp, cổng nguồn usb-typec, 6 kiểu 3 mức, rung ổn, với mình thì khá nhẹ, dủ dùng nếu chỉ ngồi xe, nên mua",positive
32,"ngồi xe lâu lâu mà dùng chế độ massage rất oke. đệm cao su non cũng êm mềm, thiết kế ôm lưng. đúng là chất lượng",positive
33,"đóng gói cẩn thận, giao hàng nhanh, sẽ mua ủng hộ shop tiếp, ship thân thiện, shop tư vấn nhiệt tình, cảm ơn shop ạ ❤️",positive
34,"ngồi xe lâu lâu mà dùng chế độ massage rất oke. đệm cao su non cũng êm mềm, thiết kế ôm lưng. đúng là chất lượng",positive
35,"sản phẩm đẹp hơn mong đợi so với giá, đóng gói rất kỹ càng và gọn rất hài lòng khi nhận được sản phẩm có dịp lần tới sẽ quay lại và ủng hộ shop thêm",positive
36,tựa êm mềm tựa thích lắm. cao su non không bị mùi. lưng cổ thoải mái hẳn. đặt có 1 bộ giờ phải mua thêm bộ nữa cho ghế phụ vợ ngồi,positive
37,"ngồi xe lâu lâu mà dùng chế độ massage rất oke. đệm cao su non cũng êm mềm, thiết kế ôm lưng. đúng là chất lượng",positive
38,đúng với mô tả:đúng với mô tả chất lượng sản phẩm:tương đối ok đã nhận hàng. hàng rất đẹp. vải mượt. nhìn rất là thích luôn,positive
39,"sản phẩm gối đầu và tựa lưng ô tô đúng với mô tả, có massage. sử dụng êm, thoải mái. sản phẩm ok, giao hàng khá nhanh.",positive
40,"hàng chuẩn nha, shop tư vấn khá nhiệt tình, lúc đầu cũng chưa muốn mua lắm, nhưng sau quyết định mua đúng k hối hận luôn. quá tuyệt vời nha shop",positive
41,chất lượng sản phẩm:ok đúng với mô tả:đúng giao hành nhanh. mình đã dùng thử mua 2 cái. dùng đều thích. đúng mẫu đúng hình. vừa đủ độ rung vs mình. còn về độ lâu dài thì cg chưa. biết vì mới sử dụng mà. chỉ là shop cho dây cắm 2 đầu mà gối 1 cái thì đầu còn lại cắm vào đâu nhỉ?,positive
42,"tựa êm thôi rồi, ruột cao su non rất xịn. máy rung giảm đau mỏi được, không gây ồn. thiết kế tổng thế khá sịn sò.",positive
43,"ngồi xe lâu lâu mà dùng chế độ massage rất oke. đệm cao su non cũng êm mềm, thiết kế ôm lưng. đúng là chất lượng",positive
44,"hàng ổn áp, chất liệu cao su non nên rất mềm và êm. vỏ bằng vải có sử dụng dây điện nên ko bt có giặt để vệ sinh khi bẩn ko?",positive
45,lần đầu tiên mua được bộ tựa ô tô xịn như thế này. vừa êm mà vừa được massage thư giãn. sản phẩm tuyệt vời,positive
46,chất lượng sản phẩm:qua te lua dao lừa đảo mọi người cẩn thận shop lừa đảo mọi người mua hàng cẩn thận. ram 8 mà chậm lag ko dùng được. chạy lúc là nóng tự thoát vào lại bị đơ ko bấm được. gọi tư vấn thì đổ thừa lại còn bảo mình là bên đối thủ nữa. bỏ ra mấy triệu mà ko dùng được . cay mọi người nên tảy chay những shop như này nha,negative
47,"quá nóng, không biết bền không",negative
48,"shop tư vấn nhiệt tình, sẽ ủng hộ thêm",positive
49,dùng ổn. các ứng dụng oke. ứng dụng ra lệnh giọng nói kiki chỉ là dùng thử. ko có ra lệnh gióng nói của google. cảm ứng mượt ở mức độ tạm ổn. cài app ứng dụng trên android. phải sử dụng tài khoản gmail của người bán hàng. ko biết trong quá trình sử dụng có phát sinh vấn đề gì không ?. tạm thời trải nghiệm cũng ổn.....,neutral
50,"hàng sử dụng được, mượt nhưng hơi nóng. nhân viên shop hướng dẫn qua điện thoại nhanh chóng",positive
51,dùng mới đầu thấy tạm ổn.nhưng 2 hôm sau thấy đang đi vietmap bị văng ra mấy lần.lâu dài ko biết thế nào.với box chạy hơi nóng.,negative
52,dùng vẫn bị văng dù đã tham khảo trước có nên dùng 8/64 ko?,negative
53,"tín hiệu ko ổn định, lúc được lúc mất",negative
54,dùng hơi lag,negative
55,hay bị treo,negative
56,ok,positive
57,sh9p nhiệt tình,positive
58,"hàng vận chuyển đến nhanh, đóng gói cũng cẩn thận. mình đã lắp đặt vào xe rất dễ dàng, box chạy mượt mà và nhanh lắm, kết nối nhanh và tiện lợi hơn so với dùng với điện thoại. từ giờ k sợ nóng điện thoại nữa rồiiiii. shop đóng gói phụ kiện đi kèm, sim đầy đủ. mình rất hài lòng, cho shop 5 sao vì chất lượng nhé. nhìn chung là khoản đầu tư xứng đáng nì. hết sức recommend cho mọi người luôn",positive
59,sản phẩm nguyên seal full box. cũng chưa lắp vào màn nên chưa biết được như nào. shop giao hàng nhanh. đánh giá 5 sao cho chất lượng phục vụ của shop. còn sản phẩm thì phải trải nghiệm mới có đánh giá cụ thể.,positive
60,sản phẩm tốt đúng mô tả . gắn vào nhận ngay . lướt rất mượt . nên mua . shop tư vấn nhiệt tình . bảo hành dài hạn,positive
61,"đúng với mô tả:sp đúng mô tả chất lượng sản phẩm:ổn trong tầm giá shop chu đáo, đóng gói kỹ, sản phẩm dùng ổn trong tầm giá. nghe nhiều người nói nóng, nhưng dùng liên tục hơn 2h lái xe, mức nhiệt tỏa ra là chấp nhận được. nói chung hiện tại khá hài lòng. được youtube pre. mà không biết dùng được bao lâu. độ bền đợi thời gian mới biết.",positive
62,"giao hàng nhanh sau 2 ngày đặt. shop có tặng kèm sim vnsky, chưa kích hoạt xem mạng như thế nào. box kết nối với xe khá nhanh. mới kết nối wifi dùng thử thấy khá mượt. chưa có thời gian kiểm tra được các thông số bõ và bản quyền youtube cũng như viêtmap. nói chung cảm nhận ban đầu ok. cài đặt được tính năng ra lệnh bằng giọng nói trên vô lăng nữa là ổn",positive
63,"sản phẩm đẹp ,giá rẻ. sử dụng ban đầu mượt ko lag. shop tặng youtube prenium sd vĩnh viễn ( hy vọng được như shop tư vấn). nói chung rất ok , có cơ hội sẽ ủng hộ shop tiếp.",positive
64,"chất lượng sản phẩm:box chạy mượt, đúng với mô tả:hàng chuẩn được shop tư vấn nhiệt tình và tài khoản premium youtube trọn đời, box chạy rất mượt và ổn định.sẽ ủng hộ shop những lần sau",positive
65,"shop dễ thương, tư vấn nhiệt tình 👍🏻 sản phẩm như hình mẫu chất lượng sản phẩm phải sử dụng lâu dài mới biết được",positive
66,đúng với mô tả:shop quản cáo chất lượng sản phẩm:tốt giá cả hợp lý shop bán rẻ hơn shop khác. box nghe hay chạy mượt đc bảo hàng 2 năm. chủ dễ thương tận tình thân thiện chỉ dẫn sử dụng đồng hành cùng với khách hàng lâu dài . cảm ơn chủ shop bán sp tốt mang đến khách hàng nhé. mn nên mua về trải nghiệm shop này uy tính 👍🌟❤️,positive
67,đúng với mô tả:đúng với mô tả san pham giao hàng nhanh. test qua wed thông tin đầy đủ. sữ dụng thấy ok. shop trả lời chăm sóc khách hàng tốt nhanh lẹ,positive
68,"hàng đúng chất lượng,mẫu mã đẹp dùng rất ngon,làm ăn uy tín giá cả phải chăng.chạy mượt lắm thank shop nhé,khi nào cần sẻ ủng hộ thêm",positive
69,"nhận hàng được 1 tuần và trải nghiệm giờ mình mới đánh giá. về shop: phục vụ chu đáo, hỗ trợ nhiệt tình. mình mua đợt giảm giá 10/10, shop báo nhiều đơn nên sẽ giao chậm hơn, nhưng cũng đã giao được đúng hẹn. về sản phẩm: box dùng mượt, hình ảnh nét, âm thanh tốt. kiểm tra website hãng bảo hành 1 năm. được tặng kèm nhiều khuyến mãi.",positive
70,chất lượng sản phẩm:tốt đúng với mô tả:đúng giao hàng nhanh chất lượng sản phẩm như quảng cáo dễ sử dụng riêng xe yaris cross muốn cài đặt giọng nói trên vô lăng thì pải làm thêm vài thao tác nữa cũng đơn giản.,positive
71,"chưa có đủ thời gian để kiểm tra kỹ sản phẩm. nhưng rất hài lòng với người bán! sản phẩm như mô tả, hoạt động rất mượt mà, giao diện thân thiện, dễ sử dụng.",positive
72,sản phẩm chất lượng shop tư vấn nhiệt tình nên mua nhé mù công nghệ nên hỏi hơi nhiều shop cũng chịu khó trl sẽ quay lại,positive
73,không khác gì loại 200k đã mua xxxxxxxxxxxxxxxxxxxxx,negative
74,"chất lượng sản phẩm:chất lượng keo để lâu ngày lão hoá, chân đế thì bé rất khó thao tác mới lắp chưa kiểm tra ánh sáng mặt trời thế nào. nhân viên hỗ trợ nhiệt tình. tuy nhiên giá cao hơn tiktok 30k",negative
75,"giao đủ hàng, cảm giác tấm chống nắng hơi mỏng hơn so với mong đợi xíu. nam châm hít khá mạnh. lắp vào xe sẽ đánh giá độ hoàn thiện và phù hợp với xe sau",positive
76,đã nhận hàng hàng cũng ổn. nhưng không gắp gọn vào được,neutral
77,"rèm che nắng được nhưng không được như mô tả, so với chất lượng này thì giá cao quá, được cái shop nhiệt tình",positive
78,"giá hơi đắt , giảm tí nưa thi ngon",positive
79,k có khăn tặng kèm,neutral
80,ổn,positive
81,giao nhanh nhắn tin a chủ nhắn lại tư vấn nhanh quá về lắp luôn vợ khen quá trời chất vải dày dắn chắc chắn ổn sẽ ủng hộ shop tiếp nhé ạ 😍😍,positive
82,"shop ship hàng nhanh, đóng gói cẩn thận, đầy đủ phụ kiện và hướng dẫn sử dụng. hỗ trợ khách hàng tốt, nói chung là hài lòng.",positive
83,rèm che rất dầy dặn vừa in luôn với xe mình.shop hỗ trợ nhiệt tình giao hàng nhanh .mh rất hài lòng sẽ quay lại ủng hộ cho shop khi có nhu cầu mua tiếp,positive
84,"shop chuẩn bị hàng rất nhanh, rất hài lòng về dịch vụ chăm sóc khách hàng.",positive
85,nhận hàng mình lắp luôn vừa xe nhìn dày dặn che nắng tốt shop có tặng kèm theo đế giữ rèm rất ok,positive
86,"sản phẩm đẹp, vừa khít xe rất tiện dụng. shop tư vấn nhiệt tình, gửi video hướng dẫn rõ ràng.",positive
87,"rèm che nắng tốt, nhìn ra ngoài cửa được, hướng dẫn sử dụng kĩ càng, dễ lắp ráp, ghế sau k cần đễ giữ cũng được",positive
88,"vừa khít, đóng cửa mạnh không bung. còn đi thì không biết. giao hàng nhanh. chất lượng tốt. dày dạn",negative
89,đúng với mô tả:ok chất lượng sản phẩm:ok dày dặn chắc chắn dễ sử dụng. khá tiện lợi. nên mua nha mọi người ơi,positive
90,"rèm khít xe, lắp đặt dễ dàng, chất lượng tốt, ship nhanh, nhân viên rất nhiệt tình",positive
91,"chất lượng sản phẩm:đẹp đúng với mô tả:đúng shop rất nhiệt tình, rất hài lòng. mình cao nên rèm che mất gương, shop đổi lại cho cái khác theo yêu cầu. rất muốn ủng hộ shop thêm nhiều lần nữa. cảm ơn rất nhiều.",positive
92,mặc dù gói hàng ko kĩ lắm nhưng 5 sao cho chất lượng sp với shop tư vẫn nhiệt tình nha,positive
93,"chất lượng sản phẩm:tốt đúng với mô tả:đúng rèm che kín ô cửa gắn vào đỡ chói và đỡ nóng xe nè. lắp cũng dễ, ổn.",positive
94,đúng với mô tả:ok chất lượng sản phẩm:tốt đóng gói cẩn thận shop có tặng thêm khăn lau xe ok nhé nên mua,positive
95,chất lượng sản phẩm:tuyệt vời đúng với mô tả:đúng sản phẩm rất tốt đã nhận và giao hàng nhanh shiper hơi khó tính nhưng chất liệu ok chắc chắn,positive
96,dỏm. gắn cái núm xoay vô xong vặn ra ko được. cái chốt gắn vô cái ốp đt nó lỏng le. vứt sọt rác là vừa,negative
97,"chất lượng sản phẩm:cùi bắp đúng với mô tả:cùi bắp mới nhận hàng thấy ok, về gắn lên xe máy dùng rồi mới biết thực tế ra sao. lúc đó sẽ đánh giá chi tiết hơn! gắn vào nhựa cùi bắp quá đẩy qua đẩy lại mấy cái bị gãy chán gì đâu … ko nên ham rẻ mà mua :(",negative
98,"về chưa kịp xài gãy bà nó cái chốt , mà cái chốt dễ gãy lắm haiz lắp vô gương thì kh lắp đc",negative
99,"chất lượng sản phẩm:này dành cho xe đạp á chứ cái khớp siết giá đỡ vào xe không đủ khít để gắn vào kính xe, mà cũng quá nhỏ để lắp vào thân xe. túm lại là không dành cho gắn xe máy",negative
100,giao hàng chưa đến tay đã gãy,negative
101,lỏng lẻo và ko vừa với tay cầm của xe,negative
102,giao ko đúng hàg,negative
103,tệ rất dễ gãy,negative
104,shop tệ vl,negative
105,dễ gãy,neutral
106,"chất lượng sản phẩm:quá tệ đúng với mô tả:khác với mô tả, không bỏ vừa ghi đông xe máy, lỏng lẻo, vặn cố định cái bay luôn cái ốc, không nên mua",negative
107,lỏng sài kh được,neutral
108,không gắn vào xe máy được và hàng cứ như đã từng được sử dụng qua r,negative
109,"shop giao không đúng đơn hàng tôi đặt. cái giá diện thoại cho xe đạp thì ok, còn cái giá đỡ dính thì ko có giao shop thay thế sp kc ko đúng cái tôi đã đặt. 🤕🤕🤕",negative
110,nhựa dỏm ko chắc chắn,negative
111,tệ,negative
112,"e lỡ mua loại gắn xe đạp hic, nhắn shop hỏi đổi đc k thì shop đ rep luôn, ít ra cx rep ngta dù đc hay k đc chứ, cay quá bây",negative
113,"đúng với mô tả:đúng chất lượng sản phẩm:tốt lưu ý đây là giá cài cho xe điện, dùng xe máy sẽ bất tiện 🥹🥹 sau khi dùng đc 3 ngày thì: - mình đã cố định được vào thanh gương (chỉ kéo xuống hết cỡ và vặn thật chặt) -> cố định tốt. - điện thoại mình là ip 13, nhỏ hơn khung, khung có nam châm nma vẫn bị xê dịch -> cái này mình chưa khắc phục được - mỗi lần xài thì phải tháo ốp lưng -> bất tiện nhưng vẫn ổn - nối chữ v để điều chỉnh vị trí khi đi bị xốc nhiều, đặc biệt mình đi xe số nx -> chắc là k có cách khắc phục tổng lại, mình thấy giá này dùng cho xe điện (xe có thiết kế thanh thon cho giá này) thì ok, bền, tốt, có thể mua. do mình mua mà k để ý nên có vài bất tiện.",positive
114,"đúng với mô tả:không đúng khó gắn, không gắn được trên xe máy (xe waxe). được cái hộp đựng đt thì xịn, chống nước ổn. còn lại chán chả muốn nói :)))",negative
115,chất lượng sản phẩm:okii tạm ổn đúng với mô tả:sản phẩm đúng với mô tả dùng được chất lượng ổn 🥲:)),positive
116,màn hình kiếng là một màng bao dày để dễ cảm ứng. vẫn có nước luồn vào các khe rãnh với số lượng ít,neutral
117,"đúng với mô tả:ko giống lắm chất lượng sản phẩm:ko gắn đc, gắn vô chạy có rụng xuống từ từ ko xem đc",neutral
118,"sản phẩm nhiều chỗ trầy xước, nhìn như là đồ cũ vậy á",negative
119,vui lòng để kiện hàng ngay cửa. xin cảm ơn! vui lòng để kiện hàng ngay cửa. xin cảm ơn!,positive
120,"không xe máy nào gắn được, thích hợp gắn xe điện hơn.",neutral
121,dùng cũng được hơi kém thẩm mỹ và khó lắp đặt,negative
122,"với giá này thì kh iu cầu gì nhiều, nhma cảm thấy gắn vào kh được chắc chắn lắm, phần đinh tán vừa lấp vào đã rụng",neutral
123,"chất lượng sản phẩm:tam dc đúng với mô tả:to quá, dùng kg tiện hộp bên ngoài quá to, shop nên ghi kích thước để moi ng biết",negative
124,sản phẩm quá nhỏ để gắn vào tay lái xe gắn vào kính xe thì lại bị lỏng chán,negative
125,"đúng với mô tả:hàng lởm vl, nhựa xấu , màn đục",negative
126,tạm ổn,neutral
127,tạm,neutral
128,chất lượng sản phẩm:ok đúng với mô tả:dung vs mo ta chất lượng sản phẩn ok vs giá tiền mua sài cũng khá ổn để gắn lên xe trải nghiệm ntn,positive
129,"chất lượng sản phẩm:tốt to hơn so với mình nghĩ😂trông rất chắc chắn, đặt đt vào vẫn vuốt chạm được màn hình.",positive
130,chất liệu bằng nhựa pvc nhẹ.vừa giá tiền.cảm ơn shop nhé.sẽ ủng hộ khi có nhu cầu,positive
131,chất lượng sản phẩm:tốt tốt,positive
132,chất lượng sản phẩm:tạm ổn,neutral
133,sản phẩm đúng mô tả,neutral
134,thiếu cái để hỗ trợ chỗ gương xe máy,neutral
135,"hở đủ đường, không chống nước được nha, đu mưa là bỏ luôn cái điện thoại á, giá kẹp thì lỏng lẻo, có thể vặn bằng tay nhưng đưa kèm cái cây vặn gì thì không biết",negative
136,"đúng với mô tả:tạm chất lượng sản phẩm:tạm nhận xét công tâm thì đây là một sản phẩm không phù hợp cho xe máy lắm vì không có chỗ gắn á. kiểu mình gắn lúc đầu rất ok luôn mà một hồi là nó tuột ra à, do nó không có vừa ưu là dễ dùng tự gắn được và chống mưa tốt, không sợ đi ngoài đường bị giựt nhược là nó không vừa với xe máy bình thường, dễ gãy phần nhựa vặn vít (mình đã bị gãy rồi, nó cực kì giòn - dễ gãy luôn) nchung là vẫn dò đường được nhưng nó xoay và quay lên quay xuống rất ghê, mình lúc đầu rất thichd mà xài được tuần là khoải luôn ạ :(( buồn nhiều chút",neutral
137,"hàng xài tạm ok có con ốc phía trên quá lỏng lẻo, mặc dù đã xiết chặt! yêu cầu làm cứng cáp hơn chút! đánh giá 4sao",negative
138,"đúng với mô tả:ao qua chất lượng sản phẩm:nhựa+sắt khá to, nặng, thô ráp không như video quảng cáo dùng tạm",negative
139,hàng ok,positive
140,nó hơi bị mỏng và rớt,neutral
141,nó cứ cũ cũ với lại hơi chày,negative
142,sản phẩm tốt mn nên mua nha. mua đi làm đi chơi đều rất tiện lợi nha. kẹp chắc lắm ko sợ j hết luôn,positive
143,"shop giao siêu nhanh đặt hôm trước hôm sau nhận được luôn , bọc hàng cẩn thận , mở hàng ra quá là ưng luôn , đúng như mô tả shop mall uy tín giá còn rẻ nữa , nên ko có j chê luôn 5 *",positive
144,"hàng đóng gói kĩ càng, mình thích nhất là shop giao hàng rất nhanh. sản phẩm như hình, công dụng khỏi chê rất chắc ae đi phượt nên mua nha . 5 sao cho shop",positive
145,"chất lượng sản phẩm:ok đúng với mô tả:đúng khớp kim loại ở các cùi chỏ nha, nhưng mà khớp xoay bằng nhựa nên chỉ chạy nhẹ chứ bào off-road là banh nha.",neutral
146,"chất lượng sản phẩm:ok đúng với mô tả:có nhận hàng khá là ok luôn, cảm thấy rất là ưng ý nhe, giao cũng nhanh nữa, mới đặt thì phải á, mà hôm qua giao rồi, nếu sản phẩm xài tốt sẽ quay lại mua tiếp nha😍",positive
147,nhận được hàng cũng khá là nhanh nhìn cũng rất là chắc chắn có thể điều chỉnh kích thước bằng nhôm hi vọng lắp sử dụng được lâu dài,positive
148,"sản phẩm chất lượng lắm nha , kẹp khá chắc chắn, không rung lắc , giá cũng rẻ nữa , shop đóng gói hàng cẩn thận giao hàng nhanh , cho shop 5 sao nha",positive
149,"giá đỡ cứng cáp, dày dặn, có vẻ ổn áp khi cầm trên tay, giao hàng nhanh nữa",positive
150,"chất lượng sản phẩm:siêu ok hồi mới đầu đặt về không có biết lắp á mà ib sốp chịu khó trả lời lắm hêh loay hoay một hồi cũng dô nên rate sốp 5* quá đã, giao hàng nhanh nhe 🫡",positive
151,đúng với mô tả:ok chất lượng sản phẩm:ok minh mua lần đầu thấy cũng ok mà chưa xài k biết có tốt k nữa ạ,positive
152,"gói hàng được giao rất tốt, hàng không bị hư hỏng, màu sắc đẹp, thời gian giao hàng đúng như thời gian hiển thị trên trang",positive
153,"chống nước tốt, nhựa nhìn có vẻ bền.nhân viên tư vấn tận tình oke",positive
154,"sản phẩm giống như mô tả, giao đầy đủ đơn hàng, phụ kiện lẫn kích thước. ống rất mềm nên rất dễ cóc dây khi quấn dây lại",positive
155,hàng giao nhanh. giá rẻ. chưa biết lắp như nào. k biết nước có mạnh đủ để rửa xe k. cứ cho 5* vì giá tốt,positive
156,lần nào mua hàng shop đều rất yên tâm..! shop phục vụ rất chuyên nghiệp..! shop có tâm ắt sẽ có tầm trong tương lại..!,positive
157,"cực kì tệ, mới xài 3 ngày xẹp lép, mình nặng có 52kg mà còn vậy, chất lượng quá kém",negative
158,quá tệ cho sp trên 100k,negative
159,hàng sài 2 3 bữa hư rồi,negative
160,hàg quá tệ.mut mỏg lét k giong nhu hìh ảnh.mua về để bỏ chứ k xài duoc.,negative
161,chất lượng sản phẩm:tệ sản phẩm rất ê mông k khác gì yên xe thường và một thoi gian ngắn sẽ bị xẹp.,negative
162,dùng dc hai hôm thì sẹp như tờ giấy,negative
163,dùng được 2 hôm xẹp không khác gì mảnh vải,negative
164,"chất lượng sản phẩm:chất lượng xấu, đường may cẩu thả, các bạn không nên mua loại hàng này. vì cần dùng gấp nên tôi không trả hàng được , phải tự may lại các đường viền và may gia cố các dây chằng mới tạm dùng được. nói tóm lại không nên mua hàng này.",negative
165,"không đúng với mô tả, giới thiệu là hơi mà giao là nệm mút ở trong,lừa gạt",negative
166,chất lượng sản phẩm:bad not good mn không nên mua nhé ⛔️⛔️⛔️⛔️⛔️ mỏng như cái lá lúa mà lót ngồi cái gì.. quá sai lầm ⛔️⛔️⛔️⛔️⛔️,positive
167,hàng ngồi mấy bữa xẹp như tờ giấy,negative
168,"cứng, mỏng, ngổi xe vẫn đau đít.",negative
169,chất lượng sản phẩm:tệ ngồi còn đau mông hơn,negative
170,sử dụng vài ngày cái xẹp lép,negative
171,tưởng nó dày ai ngờ mỏng manh thât,neutral
172,chất lượng sản phẩm rất tồi mới đi một chuyến tam đường(lai châu) tổng 800km về đệm xẹp lép ko nhận ra cho shop 2sao,negative
173,chất lượng sản phẩm:ko okie lắm. mới ngồi và hôm đã xẹp. mình có 63kg ko bơm hơi lại đc,negative
174,ko êm,negative
175,bung hết chỉ..sp như cc ý,negative
176,đúng với mô tả:tốt chất lượng sản phẩm:ổn ok so với tầm giá . khá ổn áp. mỗi tội dây ràng vô yên hơi mỏng,positive
177,cũng dc dây buộc không tốt lắm. hay bị tuột,negative
178,mỏng lắm,negative
179,"loại này nhỏ, cứng. sai lầm quá",negative
180,"hơi mỏng, không đáng với giá tiền",negative
181,chất lượng sản phẩm:bth đúng với mô tả:đúng mỏng dùng ko dc êm cho lắm,neutral
182,chất lượng kém,negative
183,đúng với mô tả:đúng chất lượng sản phẩm:khá tốt không biết lót ngồi lâu có bị trượt không,positive
184,"giao nhanh, đúng như mô tả, nhưng có 1 sự cố nhỏ ở sản phẩm, mong shop hoàn thiện để mốt 5 sao tròn trĩnh ❤️❤️ dù đánh 4 sao nhưng vẫn sẽ ủng hộ để mong đánh lại 5 sao.",positive
185,"chất lượng sản phẩm:cũng tạm đúng với mô tả:cũng 8/10 nói chung là cũng ok vậy thôi nhận xét chỉ mang tính chất nhận xu, qua một ngày sử dụng cảm giác ngồi như ko ngồi nha chả êm tẹo nào",neutral
186,"cứng lắm , ngồi k hề có cảm giác êm",negative
187,"hơi thất vọng. độ dày của đệm mỏng hơn trên hình, dây quai cài nhìn cũng k đc chắc chắn",negative
188,"đúng với mô tả:đúng sp chất lượng sản phẩm:ổn mua nước ngoài dịp tết so với shop việt nam rẻ hơn, mới nhận hàng nên chất lượng để sau sẽ bổ sung",positive
189,đúng với mô tả:ok chất lượng sản phẩm:ok hàng ngôi thông thoáng và thoải mái giao hàng nhanh chóng,positive
190,"sản phẩm giống đúng như mô tả, đóng gói kỹ lưỡng, giao hàng nhanh, chất lượng sau một thời gian sử dụng mới biết.",positive
191,"chất lượng sản phẩm:ok tốt nhé đúng với mô tả:đúng shop giao hàng nhanh chóng, chất lượng sản phẩm cũng tốt nhé...",positive
192,"bánh giòn, cứng, bánh này mới nên ăn ko bị ốp, giá lại rẻ hơn mấy chỗ khác, sẽ ủng hộ shop nữa",positive
193,"đúng với mô tả, giá rất là rẻ luôn, chất liệu êm, giao hàng rất nhanh, cho shop 5 sao, cám ơn shop",positive
194,sản phẩm đẹp shop nhiệt tình đóng gói cẩn thận mọi người nên mua ủng hộ shop hình ảnh minh họa,positive
