,comment,label
20,"chất lượng sản phẩm:tốt đúng với mô tả:đúng túi 4l sinh ra để lắp vừa winner x v3 (có gắn baga). chỗ đoạn đầu túi có 1 cái quai xách ngắn ngắn, mình dùng dây rút màu đen để buộc vào khung đầu baga luôn. mặt dưới túi thì có 2 dây dán, mình luồn xuống dưới baga rồi dán lại thôi.",positive
21,"quá ok. bỏ vào xe trông cũng khá đẹp. để được mũ, áo , găng tay chống nắng khi đạp xe sớm. nhìn ko quá bị bỉm sữa. tiện dụng lắm",positive
22,"chất lượng sản phẩm:good đúng với mô tả:giống đã mua nhiều lần ở shop và chưa lần nào thất vọng, túi chắc chắn, dễ lắp đặt, chứa được nhiều đồ… hẹn shop ở đơn hàng tiếp theo nhé!!!",positive
23,chất lượng sản phẩm:rất đáng tiền đúng với mô tả:túi đẹp sản phẩm chất lượng. túi dày dặn. săn sale với giá 134k áp mã giảm giá còn 125k quá êm,positive
24,"đúng với mô tả:ddung chất lượng sản phẩm:tot tốt, chắc chắn và da đẹo có túi chùm bọc tránh mưa. đựng được nhiều đồ tiện lợi cho xe đạp",positive
25,"túi nhìn xịn, dày dặn. cỡ nhỏ này bỏ được áo mưa, 2 chai nước 500ml với ít bánh kẹo để đi đường xa. vừa với baga chở đồ loại xe touring!",positive
26,"đúng với mô tả:giống như mô tả chất lượng sản phẩm:chất lượng đảm bảo sản phẩm giống như hình ảnh mô tả, giao hàng nhanh, đóng gói đúng quy cách. chất lượng phù hợp giá cả, chịu được mưa nhẹ, thuận tiện khi đạp xe",positive
27,hàng quốc tế mà giao nhanh lắm. 3 ngày đã nhận được rồi. túi đẹp y hình còn có cả bọc chống mưa. chất lượng và giá quá tốt.,positive
28,chất lượng sản phẩm:kha tot đúng với mô tả:đúng sản phẩm nhìn chung khá ổn. chắc chắn. nhìn vậy chứ chứa được kha khá đồ. anh em nào chạy xe máy không có cốp như mình mua là hợp lý.,positive
29,"chất lượng sản phẩm:tốt sản phẩm đẹp và chắc chắn. giao hàng khá nhanh. shop đóng gói kỹ và sản phẩm được bảo quản tốt, mới và đẹp.",positive
30,"chất lượng sản phẩm:tốt đúng với mô tả:đúng túi to, hình hộp nhìn gọn gàng. gắn vừa yên sau xe đạp mình. giao hàng nhanh.",positive
31,"giao hàng nhanh, đóng gói cẩn thận, túi siêu to dầy dặn, khóa kéo chắc chắn dễ kéo chất lượng oke giá cả hợp lý",positive
32,"đúng với mô tả:đúng chất lượng sản phẩm:tốt hàng tốt. thật không may cho tôi mua đợt này mưa bão nên hàng bị xấu, rách hộp và móp méo. phải năn nỉ mấy người bạn lấy dùm chứ nhìn hộp xấu thật khó chịu. shop kêu tôi trả hàng & hoàn tiền nhưng tôi đã trả tiền rồi giờ đưa hàng lại chờ không biết bao lâu mới lấy lại được tiền của mình. thôi để tôi tự giải quyết luôn, số xui phải chấp nhận thôi.",negative
33,"đúng với mô tả:đúng mô tả,hình ảnh chất lượng sản phẩm:tốt,nhưng giao thiếu 1 sp,mua 2 sp,giao hàng trong gói chỉ 1 sp. hàng chất lượng tốt, mình mua lại lần 4. nhưng mua hàng tt trước, nhân viên giao hàng không chờ đồng kiểm tra. hôm nay bị thiếu hàng. khiếu nại ai giải quyết. người mua chịu à! rút kinh nghiệm những lần sau mua không tt trước, chờ kiểm tra mới tt nhé mọi người.",negative
34,"giao hàng chậm, thiếu phụ kiện gắn vào xe… ko đúng như mô tả",negative
35,"oke sản phẩm đúng như mô tả, hàng chất lượng",positive
36,chất lượng sản phẩm:quá tệ so voi quản cáo,negative
37,ship đến tay hộp móp méo! mở ra gẫy cả cái này! quá tệ,negative
38,"giao hàng nhanh, đóng gói cẩn thận",positive
39,đúng với mô tả:đúng với mô tả đúng với mô tả,positive
40,"đèn không sáng nha , cắm sạc đèn nháy 3 nấc là 75% ấn đèn vẫn kg sáng",negative
41,đúng với mô tả:ok nha ship po ko nhiệt tình,positive
42,một chiếc bị hỏng,negative
43,"tuyệt vời tôi mua lần 2 xử fungj thấy ổn vận chuyển củng mau lẹ,tặng 5 sao được không...?",positive
44,đúng với mô tả:ko đèn kiểu dell j àm sạc hai ngày thì bật dc một lúc là tắt ko bâtj dc nx ???????,negative
45,oki,positive
46,5sao,positive
47,"đúng với mô tả:đèn đúng với mô tả chất lượng sản phẩm:phải dùng 1 thời gian mới đánh giá được đèn nhỏ gọn, lắp dưới yên xe đẹp hơn trên trục yên. thời gian giao hàng khá chậm, trễ 5 ngày so với dự kiến.",negative
48,đúng với mô tả:dung chất lượng sản phẩm:bình thường theo mình thì tiền tít thì dùng tạm cũng được,neutral
49,đèn sử dụng tốt hàng đẹp dày dặn chất lượng. lần sau sẽ mua thêm,positive
50,hợp đồng công chứng uỷ quyền thụ uỷ gồm : bìa đỏ công chứng gửi ra cho anh bảy kí thụ uỷ việc bán đất cho chị thy đi hương khê hà tĩnh - xe hà hằng . hà kháng,spam
51,chất lượng sản phẩm:ok đúng với mô tả:đúng,positive
52,chất lượng sản phẩm:ok bộ kết giữa mốc vào yên và đèn bị lỏng và không khớp lắm,neutral
53,shop gửi hàng không đúng mẫu. đèn không có cảm biến phanh. đèn cũng không tự tắt. mua shop nước ngoài hên xui lắm các bạn. cân nhắc trước khi mua,negative
54,chất lượng sản phẩm tốt anh sáng mạnh xa đều tuy nhiên dịch vụ giao hàng không được ổn lắm báo trên app là sắp giao chuẩn bị điện thoại mà phải đợi tới ngày hôm sau mới giao,neutral
55,đúng mẫu,positive
56,độ sáng tạm được,neutral
57,"chất lượng: chất lượng tốt, nhưng ... ánh sáng không sáng sáng như nó phải. và việc lắp đặt dưới ghế thực sự không thể làm được. cuối cùng kết thúc trên dây cao su. thất vọng vì định tìm đèn lắp dưới ghế.",negative
58,"đèn ok hàng mới, khá ổn với giá tiền khá ưng ý, giá ok, sẽ tiếp tục ủng hộ shop những lần mua sau này nữa",positive
59,giao hàng nhanh ( dù là hàng quốc tế ) đóng gói kỹ càng kèm theo nhiều phụ kiện còn chất lượng đánh giá sau,positive
60,"hàng của rockbros chất lượng số 1. phụ kiện đầy đủ. lắp dưới yên chắc chắn, ánh sáng vừa đủ hài hòa. tặng sốp 5 sao.",positive
61,"đúng với mô tả:đúng chất lượng sản phẩm:ổn giao hàng nhanh chóng, chất lượng sản phẩm ổn định ship ok",positive
62,đúng với mô tả:giống mô tả chất lượng sản phẩm:hộp hơi nhăn xíu chắn chắc hoàn thiện tốt,positive
63,đúng với mô tả:đúng chất lượng sản phẩm:khá sản phẩm khá chắc chắn.,positive
64,"sản phẩm đúng với yêu cầu, dễ lắp đặt vào dưới yên xe, dễ sử dụng, dễ nhận ra khi di chuyển",positive
65,"sản phẩm nhìn đẹp, như giới thiệu, mẫu mã đẹp ...............",positive
66,chất liệu hình thức ổn độ bền với độ chịu nước chưa thử. cũng hài lòng vì hàng giao khá nhanh phải để tes mới nói thêm được chi tiết,positive
67,"đóng gói khá cẩn thận , giao hàng khá nhanh, tầm 5 hôm nhận được rồi , nếu bền nữa thì đúng 10/10",positive
68,chất lượng thì tốt nhưng mỗi chỗ bán một giá,positive
69,"chất lượng sản phẩm:tốt đúng với mô tả:ok thấy thì rất chất lượng ,nhưng chưa dùng nên chưa thể đánh giá được.",positive
70,mua tặng bạn nên k biết chất lượng ra sao. nhg giao đúng ngày,neutral
71,"giao hàng nhanh, hy vọng chất lượng ok, cho shop 4 sao, sẽ ủng hộ shop nếu hàng tốt",positive
72,đúng với mô tả:đúng mô tả chất lượng sản phẩm:tốt,positive
73,"hàng chất lượng, hộp đựng chỉn chu, nhiều chế độ hoạt động, ánh sáng tốt. cần test thực tế để biết thời lượng pin chính xác",positive
74,"hàng đẹp chất lượng tuyệt vời,đúng với mô tả mà giá cả rất tốt. mọi người lên mua. đã ủng hộ shop nhiều rồi ❤️❤️❤️❤️⭐⭐⭐⭐⭐",positive
75,"chất lượng sản phẩm:tuyệt vời đúng với mô tả:ok nha đèn đủ màu nhiều kiểu đẹp,dễ lắp ráp giá rẻ nên mua nha cả nhà",positive
76,"từ trung quốc, giao hàng rất nhanh chóng, đóng gói cẩn thận, hàng đẹp lắm, đúng chủng loại và mô tả, đèn hậu có rất nhiều chế độ sáng, túi xe đạp rộng rãi, vải may dày dặn, rất hài lòng với sản phẩm",positive
77,đúng với mô tả:đúng với miêu tả chất lượng sản phẩm:khá ok sản phẩm ok nhìn đẹp giao nhanh đóng gói cẩn thận rất ưng ý sẽ ủng hộ tiếp,positive
78,chất lượng sản phẩm:đúng với mẫu đúng với mô tả:dầy đủ cả sạc hàng quốc tế nhưng giao nhanh còn kg biết có bèn kg phải dùng mới biết,neutral
79,"đúng với mô tả:y hình chất lượng sản phẩm:ok đèn cầm chắc tay kinh khủng luôn đèn rất sáng. để mình dùng thời gian xem pin như nào shop đóng gói siêu cẩn thận. gói từng món một trong bọc chống sốc rồi để vô một bọc lớn ở ngoài nữa sản phẩm trong hộp đầy đủ, phụ kiện theo đồ nói chung ưng quá chừng",positive
80,"chất lượng sản phẩm:ok đúng với mô tả:tốt hàng đẹp chắc chắn. cầm lên đã thấy xịn xò. đáng đồng tiền bát gạo. bật ban ngày còn thấy sáng, ban đêm thì khỏi nghĩ luôn",positive
81,"hàng đóng hộp chắc chắn, nhận không móp méo. giao hàng quốc tế nên không nhanh được như trong nước. hài lòng với cách vận chuyển, đóng hàng và giao hàng của shop. sẽ ủng hộ nếu còn nhu cầu về đồ chơi xe đạp. cảm ơn shop!",positive
82,đúng với mô tả:đúng chất lượng sản phẩm:tuyệt vời mua shop nhiều lần rồi nói chung là đèn rocbros là ok chất lượng tốt nhỏ gọn dể sử dụng tiếp tục 5 sao,positive
83,"ship rất nhanh, đóng gói oki, hộp còn nguyên vẹn không hề móp méo, 💯 đã mua nhiều lần, đèn giữ 4s để mở và tắt",positive
84,"chất lượng sản phẩm:tốt, đáng mua đúng với mô tả:đúng với mô tả, phụ kiện đầy đủ mua ngay dịp sale còn 147k, hàng đẹp, chắc chắn, rất đáng mua.",positive
85,"sản phẩm như mô tả. sắc nét, ánh sáng tốt với nhiều chế độ. thơi gian giao hàng khoảng 1 tuần. đã mua lại lần 2 cùng đèn 1000 lunen",positive
86,"chất lượng sản phẩm:10* luôn đúng với mô tả:đúng mua lần 2 rồi , lần trước sài 3 tháng chưa hết pin quá dã man có cơ hội sẽ ủng hộ nhiều lần nữa",positive
87,"mình check đèn ok nè, chớp sáng, nhiều chế độ. mình mua nhầm 3 cái, nên đang dư 1 cái, bạn nào cần mua liên hệ mình pass cho nha, săn sale nên giá tốt ✨🌷",positive
88,chất lượng sản phẩm:tốt đúng với mô tả:đúng với mô tả mình đặt của shop tổng là 2 chiếc. đã thanh toán số tiền 800.000đ. khi mở hộp hàng thì chỉ có 1 chiếc. mình đã gọi điện liên hệ ngay cho shop bằng số 0388881309 nhưng không hề bắt máy. và mình nhắn tin rất nhiều cho shop trên mục chat shoppe vẫn không được shop trả lời. lúc khui hàng mình có quay video lại. đã cố đợi sang hôm sau để gọi. lúc đầu gọi có chuông. sau gọi lại thuê bao,negative
89,đặt loại có tem moto mà shop giao loại đen nhám không có tem gì cả. miễn cưỡng phải nhận,negative
90,"chất lượng sản phẩm:tệ đúng với mô tả:tệ giao hàng siêu siêu chậm cả chục ngày, đóng gói cực kỳ sơ xài, ko có bất kì lớp chống sốc nào ngoài cái thùng cạc tông rách và bịch nilong rẻ tiền. hàng gia công rất tệ, ae cứ xem ảnh, chỉ bị bung và rách, phần lớp lót lỏng lẻo sập xệ và bị méo ko điều nhau. ko có màu mũi tên mờ như chính hãng. đây là fake lên tem. nón napoli bạn mình mua bữa trước mắc hơn nhưng chính hãng 100% ae cứ suy nghĩ kĩ trườc khi xuống tiền mua chổ này. định mua thêm cái cho vợ mà lại gặp lừa đảo. chán thật sự!",negative
91,hàng shopee mall mà nhận được hàng bật ngửa về chất lượng,negative
92,tại sao size l có khóa mũ còn size m thì không có. shop nói không có khóa mũ shop không bán được.,neutral
93,sản phẩm không đúng như ảnh. liên hệ với shop thì không phản hồi. mặc dù đã có gọi điện thoại,negative
94,"nhận về bị lỗi, khá thất vọng, cảm ơn shop nhiều, khá là buồn khi sp mall",negative
95,sản phẩm khi tháo bịt tai mới thấy tệ. băng dán bị long mũ đội vào lúc bỏ ra thì kéo theo cả ruột mũ.,negative
96,"chất lượng sản phẩm:tệ lúc đầu nhìn mũ cũng ổn, đằng sau dán cái tem hơi lạc quẻ, bóc ra thì hóa ra là 1 vết xước sơn vào cả phần nhựa bên trong. vô tình thì thôi k nói, đây là cố ý dán che vết xước trước khi gửi cho khách. phản hồi lại thì shop bảo ship hàng cho mình đổi, đợi 1 tuần chưa thấy đâu. làm ăn kiểu này ko bền.",negative
97,rất ít khi đánh giá. nhưng mình xin phép cho shop 1 sao.,negative
98,trước khi gửi hàng không kiểm tra hàng à trời???,negative
99,hàng kém chất lượng,negative
100,"shop đóng hàng ẩu tả chưa từng thấy nhận thùng hàng rách nát mắc gớm , đơn hàng cũng hơn 4 trăm ngàn nhìn y như đồ dỏm mỗi cái bọc ni lông bên ngoài . nên xem lại",negative
101,"xấu , mũ nhìn ỏng ẻo , mũ to như cái xô úp vô đầu .kính thì ko cụp hết vẫn hở đoạn miệng , đi đường vẫn phải đeo khẩu trang , gói hàng thì qua loa ..",negative
102,giao thiếu hàng nhưng giải quyết lòng vòng. k bao tiền nên thôi cho shop luôn.,negative
103,"chất lượng sản phẩm:nghi ngờ mình nghi ngờ về chất lượng của nón thật sự, tưởng mua của napoli thì ổn nhưng không. lấy hai cái nón đập vào nhau, thấy rõ cái nón này nó ọp ẹp hẳn luôn :) thấy hơi sợ khi đeo ra đường. qc test nhìn dỏm dỏm như in decal dán vào. nhìn sợ thật. lỡ mua rồi :(",negative
104,người giao không nhiệt tình. đóng gói hàng sơ sài.,negative
105,"shop nên nghĩ đến khi kh mua hàng, không phải ai cũng có thời gian đổi trả, chưa tính đến sự háo hức khi chờ nhận được sản phẩm. khi tôi nhận hàng vô cùng thất vọng, vỏ hộp sơ sài chứ k phải hộp của mũ, bóc ra thì cái mũ bị trầy một lõm, tôi từng mua mũ bên roya họ kỹ, tốt hơn rất nhiều.",negative
106,đồng ý đổi nhưng không đổi,negative
107,đáng lẽ tặng shop 5* nhưng vì shop khác bán mẫu mã như này đồng xước có 390 còn có áp mã giảm giá xuống còn 358k có hình bên trên mà bên này k có giá vẫn trên 400k 1 chiếc tóm lại là đắt lỡ mua rồi nên thôi tạm 2* ạ,negative
108,shop k bọc xốp nổ xước nhiều chỗ . hàng đúng mẫu .,neutral
109,đóng gói sơ sài. ko bọc 1 túi chống sốc nào. mũ nhẹ tay. mn mua nên cân nhắc kĩ. khá thất vọng,negative
110,"chất lượng ổn, mũ đẹp nhưng đóng gói sơ sài, hộp rách nát tùm lum như bị khui hàng",negative
111,"dây quai có vấn đề, ko check hàng trước khi gửi",negative
112,"đúng với mô tả:chưa chất lượng sản phẩm:ok đặt màu đồng xước mà shop gửi màu đen, hơi thất vọng",negative
113,mới đội đc 1 tuần mà cái viền vàng đã bong ra rồi. 😑😑😑,negative
114,mủ ko giống hàng chuẩn,negative
115,"quai mũ lỗi bị rách, kính bị dính keo",negative
116,mũ cảm giác k chắc chắn,neutral
117,"sản phẩm khi nhận về tay kính đã trầy xước như thế này, mình tham khảo ý kiến cũng có nhiều người bị giống mình thì thấy shop phản hồi do nhà sản xuất hoặc do đơn vị vận chuyển nhưng trách nhiệm phần lớn vẫn là của shop, nên kiểm tra hàng trước khi giao và trải nghiệm của khách hàng sau khi nhận về tay một sản phẩm mà có sai sót như vậy là một trải nghiệm không vui. mong shop sẽ cải thiện được phần nào vì không ai mong muốn nhận hàng về mà phải tốn thêm thời gian đổi trả thì rất là phiền phức và mất thời gian. mong shop cải thiện và phát triển hơn. cảm ơn vì đã đọc !",negative
118,"chất lượng sản phẩm:khui ra còn nguyên bọc nilong mà xước sâu 1 góc rồi đúng với mô tả:ko phải new lúc mới khui chưa bóc nilong thì thấy đẹp, mà mở ra thấy xước 1 góc là thấy buồn r. mũ cá nhân thấy đẹp, mà xước buồn quá.",negative
119,"mũ đẹp như hình. khá nhẹ. tuy nhiên kính mình kéo xuống khá là vướng, đội không kéo kính xuống thì oke dù đã mua size l. mình rất buồn.",negative
120,đóng gói cẩu thả. dù là mũ bảo hiểm thì shop cũng nên đóng lớp chống sốc vào. thêm 2k tiền chống sốc thôi mà tới tay ngừoi tiêu dùng nguyên vẹn. không ai muốn nhận hàng mới mà đã chợt vẹt cả.,negative
121,"sp cũng ok mà mỗi tội có vẻ nặng. size nam thì chật, nữ ok. ko có nhiều sz lựa chọn",neutral
122,chất lượng sản phẩm:ổn đúng với mô tả:sai mẫu nhưng đổi lại cho mình hơi lâu nha nhưng mà giao hình hàng bị xước 1 đường,neutral
123,"giao hàng nhanh. mũ mùi nhựa hơi nồng. mũ nhẹ. kính mũ rít k trơn, kéo lên xuống bị chặt",neutral
124,rơi nhẹ cái vỡ luôn,negative
125,"mũ mới mà đã xước rồi , cầm hơi ọp ẹp",negative
126,mặc dù đã yêu cầu shop đóng gói cẩn thận . nhưng khi nhận hàng trầy xước vài chỗ. thất vọng . shop có giảm 20k cho lần sau. nhưng chắc sẽ không có lần sau ạ . sản phẩm thì đẹp ok. nhưng gói hàng không ưng í làm trầy xước .,negative
127,đặt kính trà giao kính trong. nón nhẹ. hoàn thiện ok. kính hơi lỏng đamg tìm chổ siết lại,positive
128,chất lượng sản phẩm:mu nhỏ. dây trong hình có nệm khi nhận thì nhận dây k có nệm. đóng gói sơ sài,negative
129,hàng tốt nhưng shipper cọc với quăng đồ của khách,neutral
130,hàng chấp nhận đc tư vẫn hỗ trợ size chưa chuẩn lắm,neutral
131,"sản phẩm đẹp, nhưng hàng nhận không đúng size đặt hàng, đặt l lại giao m.",neutral
132,đúng với mô tả:đúng chất lượng sản phẩm:ok hỏi shop về size mà không thấy tư vấn,neutral
133,"chất lượng sản phẩm:đánh giá sau khi sử dụng đúng với mô tả:đúng nhìn mũ chắc chắn, quai cài chắc . cầm cũng thấy vừa tay. đệm mút bên trong dày, êm. chất lượng sản phẩm thì chưa dùng nên chưa biết, cần trải nghiệm. thấy giao hàng nhanh, shipper nhiệt tình, thân thiện.",positive
134,"chất lượng sản phẩm:tốt nên mua đúng với mô tả:đúng như đã đặt múc chính hãng , nhẹ k nặng như nghĩ . có thể tháo để giặt , kính chắc chắn, dầy dặn",positive
135,sản phẩm là rất tốt nha mọi người như ở chỗ mình thì bây giờ đang lạnh nếu như đội này ra đường thì rất là tuyệt vời luôn vừa ấm giữ cho đầu cho tai còn có lớp kính rất trong suốt nữa rất là tiện đay lên để xuống nữa ở bên trong nữa mọi người nên mua nhé,positive
136,"mũ nhẹ êm, màu đẹp mọi người nên mua. shop nên kiểm tra sản phẩm trước khi giao hàng.",positive
137,"chất lượng sản phẩm:ok mũ nhìn đẹp, nhưng đội vào thì thấy bình thường. mũ không kín lắm, được cái nhẹ",neutral
138,chất lượng sản phẩm:tốt đúng với mô tả:đúng giao hàng nhanh đặt mùng 4 mà 6 đã có hàng ngay.hàng chắc chắn giao hàng đúng mầu đúng mẫu.sz có vẻ hơi to nên mình đội sz m là vừa đẹp nên khuyên các bạn nữ cân nhắc sz trước khi đặt .,positive
139,"đúng với mô tả:quá đẹp,hài lòng với sp mọi người nên mua mũ shop này nhé mmmmm",positive
140,chất lượng sản phẩm:oke giao hàng nhanh. 3 ngày nhận đc rồi. shiper quen nên nhiệt tình. gói hàng sơ sài ạ. chỉ bỏ trong hộp giấy mỏng. k chống xốc. mũ nhẹ hơn royral. rất ưng,positive
141,"chất lượng sản phẩm:ok mũ ổn. size m vừa đầu cỡ nhỏ. nước sơn đẹp. có điều kính ko được trong lắm, nhìn bề mặt gồ ghề với nhìn đường kiểu mắt có bụi hơi nhoè. phần tiếp giáp giữa kính và mũ dư khá rộng, nếu làm vừa khít thì form mũ sẽ gọn hơn. shop hỗ trợ nhiệt tình.",neutral
142,chất lượng sản phẩm:ổn đúng với mô tả:khá giống tgian giao hàng chỉ trong vòng 3 ngày là tới đến cuối ngày t4 mình mới nhận đc hàng mua đc với giá hời nhưng shop đóng gói quá sơ sài khi giao đến kiện hàng bị móp méo và nón bị trầy sướt nếu đc shop hãy khắc phục việc đống gói cẩn thận hơn khi giao hàng nới xa và mình ko nhận đc túi tặng kèm như tin shop đã nhắn,neutral
143,"đội chắc chắn , mũ đẹp , mà bọc hàng sơ sài quá",negative
144,đúng với mô tả:đúng chất lượng sản phẩm:tot mũ rất đẹp chất lượng sản phẩm rất tốt tuy nhiên hơi bé so với đầu của mình thì hơi bé so với mũ đi hơi bị rộng một chút,positive
145,"đặt 2 mũ giống nhau mà khác chữ với màu mũ to chày nhỏ ngay chữ, kính 2 mũ cũng khác nhau mũ nhỏ không có logo chỉ giống màu còn lại khác",negative
146,"chất lượng sản phẩm:tốt đúng với mô tả:đúng mô tả. kích thước hơi nhỏ so với hi vọng, chỉ phù hợ với những ai có chu vi đầu trung bình trở xuống",neutral
147,"chất lượng sản phẩm:tốt đúng với mô tả:giống mẫu mũ khá to, hơi nặng, mình mặc hơi rộng dù trước đã đo kích thước",positive
148,chất lượng sản phẩm:tốt đúng với mô tả:đẹp mũ đẹp đi mùa đông bao ấm tai và an toàn khi tham gia giao thông nếu mũ này mua ngoài cửa hàng giá gấp đôi mua qua mạng này rẻ,positive
149,chất lượng sản phẩm:rất là đẹp đúng với mô tả:màu đen full chất lượng sản phẩm siêu tốt chắc chắn sáng giá tiền giao hàng nhanh đóng gói ok,positive
150,chất lượng sản phẩm:dep đúng với mô tả:đúng lỡ mua bản có hình lên thành 400k. cơ mà nhìn khá oke. ở chỗ mình mũ này bán cũng phải 500k.,positive
151,"đẹp, chuẩn. shop khá uy tín, anh mình đã mua chiếc màu đen, và mình đội thử thấy rất nhẹ, hợp với ng mới mổ cận sợ đi mưa như mình, nhẹ hơn mũ royal, đội rất thoải mái. 5 sao nhé mn🌈🌈🌈",positive
152,"10đ ko có nhưng. mình xuống đơn mua màu xanh, nhưng sau nhắn tin cho shop đổi lại màu kem sữa, shop hỗ trợ nhiệt tình luôn. giao hàng nhanh. mic chất lượng",positive
153,"đúng với mô tả:đúng chất lượng sản phẩm:trên cả tuyệt vời mũ đẹp, đội thích, kính trong, giá cả hợp lý mà còn săn được mã giảm giá nên rất ưng ạ",positive
154,chất lượng sản phẩm:tốt đúng với mô tả:tốt sản phẩm giống mô tả. đeo lên đầu sướng lắm cảm giác nhẹ chứ k bị nặng đầu ôm khít. quai chắc chắn. giao hàng nhanh đóng gói cẩn thận. cảm ơn shop nhé,positive
155,"mũ đẹp ngoài sức tưởng tượng kiểu dáng trẻ trung, năng động kính âm hiện đại,cao cấp hàng chuẩn công ty,gói hàng cẩn thận ủng hộ shop 🥰🥰🥰",positive
156,"đúng với mô tả:hàng như hình chất lượng sản phẩm:tốt trong tầm shop giao hàng rất nhanh. mu 3 chiếc, giao đúng 3 màu đã đặt.",positive
157,"quá trời là đẹp lun ó mũ nhẹ, đội vừa ôm đầu, tai luôn. kính này đi đường đỡ bị chói do nắng á. nâng như nâng trứng luôn, màu quá đẹp nên phải giữ cho đỡ xước 🤣🤣 high rcm nha các bác",positive
158,"chất lượng sản phẩm:đẹp, dày dặn đúng với mô tả:màu giống hình nón đẹp, dày dặn. được shop tặng mắt ếch để dán trang trí nón nữa",positive
159,"sản phẩm đc đóng gói cẩn thận. màu xinh, đúng vintage. đầu mình khá nhỏ nhưng còn hay đội mũ của áo chống nắng và buộc tóc nên cũng mua lên size to, mình thấy form mũ cũng nhỏ, vừa, ôm. mũ nhẹ. kính giấu tiện lợi, thẩm mỹ",positive
160,"chất lượng sản phẩm:ok đúng với mô tả:đúng mô tả hàng đẹp nha mn ơi, lúc đầu nhận hàng cầm cả hộp nhẹ tênh mình tưởng bị lừa giao thứ khác cơ, nhẹ hơn mình nghĩ, chất lượng mình nghĩ là ok nha",positive
161,lần đầu mình mua mũ bảo hiểm trên shoppe. shop tư vấn nhiệt tình. nhấn hàng thấy ưng ý. màu cam thì đúng màu mình thích 🤣. kính âm rất tiện lại không cồng kềnh như mấy chiếc mũ khác. đội rất êm. đi xa thì nên có một chiếc cho an toàn mọi.,positive
162,"đúng với mô tả:dung voi mo ta chất lượng sản phẩm:tot shop giao hàng nhanh, mũ đẹp, màu cũng đẹp. nói chung, mình rất ưng ý. thank shop nhé!",positive
