comment,label
lều xông hơi màu ngẫu nhiên đúng như quảng cáo chất liệu nylong ko quá dày giao hàng nhanh chưa sử dụng chưa đánh giá được chất lượng sản phẩm đánh giá sau,neutral
lều rộng rãi nhưng mà vải nilon hơi mỏng. với giá này thì khá là ok 👍,positive
chất lượng sản phẩm:tam tam vai. hơi mỏng so với mình xem trong hình ảnh dùng tạm vài bữa xem ntn. người lớn dùng hơi nhỏ ạ xông cho em bé nhỏ thì ok,neutral
đúng với mô tả:ok chất lượng sản phẩm:tạm khung hơi lỏng lẻo có thể uốn cong vải dù mỏng màu tối khi dựng lên ko đc chắc chắn khá lỏng lẻo đúng kích thước giao đúng tgian giá cả tạm chấp nhận,neutral
"chất liệu dù, vải mỏng, tiền nào của đó thôi, phù hợp vs giá tiền",positive
"dặn shop lấy cái màu khác rồi mà k dk 😢, lều giống hình, nhìn cũng chắc chắn",neutral
0 shop giao hàng nhanh chưa dùng nên chưa biết chất lượng sản phẩm như thế nào,neutral
"chất lượng sản phẩm:lều vải mỏng, nhiều chỗ còn may liền vô luôn phải cắt đi đúng với mô tả:đúng đầu tư thêm cái máy xông hơi mini ngồi chill thật sự, vải tuy mỏng nhưng ko bị thoát hơi, xông đã đời luôn, tuy nhiên độ hoàn thiện ko cao lắm, lỗi vài chỗ",neutral
hơi khó gấp lại. với giá như vậy thì thấy cũng oki. vải dù mát mẻ,positive
shop giao đúng mầu. vải cũng bình thường k dầy. nói chung tương đối,neutral
chất lượng sản phẩm:vải mong đã nhận được hàng. mải e bận zui,neutral
đúng với mô tả:sản phẩm đúng với mô tả chất lượng sản phẩm:chất lượng sản phẩm tốt lều rất ok so với giá tiền . khoá kéo 2 chiều tiện lợi . vải dày dặn . nói chung rất đáng mua . giận ck ra ngủ riêng được luôn . hihi,positive
lười lôi ra quá. thôi chụp sương sương nha. ncl dùng ok ko có vde gì sip cũng nhanh mình mua về xông thải độc. cũng to kkk,positive
đúng với mô tả:dung mo ta chất lượng sản phẩm:tốt hàng cảm thấy rất ok nha. to rộng rãi lắm 1 mình 1 nồi xông thì vô tư. kín nữa. khoá kéo thì có cả đồ nắm kéo bên trong nên dễ dàng sử dụng. rất ổn,positive
"chất lượng sản phẩm:rat ok đúng với mô tả:y nhu hình sản phẩm duoc đóng gói cẩn thận. giao hàng nhanh hơn mong đợi,, lều chắc chắn,,nen mua shop này nha mọi nguời,,",positive
đúng với mô tả:đúng mô tả tiện dễ sử dụng nói chung nên mua về cả nhà đều dùng đc nhà mn chất lượng hơn so với giá tiền đấy ạ,positive
nhận được hàng cảm thấy rất ưng ý . màu ngẫu nhiên nhưng nhận được màu này thích vì màu này sạch sẽ . với giá săn 107k thì với cá nhân mình là vừa túi tiền - rẻ - đẹp - tiện .,positive
đúng với mô tả:ok chất lượng sản phẩm:tốt chịu nha shop! màu đẹp kiểu dáng như ý! săn được giá cũng mềm mà chất lượng không “mềm” nha! 10đ không có nhưng 🥰🥰🥰,positive
"đúng với mô tả:ok chất lượng sản phẩm:tốt giá thành rẻ, chất lượng tốt, màu sắc đẹp, vải ổn . lều xông hơi sau sinh hoặc khi mệt mỏi chui vào xông, hay làm lều nhà đồ chơi cho bé đều được. 10 điểm.",positive
mới nhận sản phẩm mở ra thấy ok lắm. vải dù không thấm nước. ngồi rộng thoải mái. giao hàng và đóng gói cũng khá ổn.,positive
đúng với mô tả:đúng chất lượng sản phẩm:tốt mua lâu rồi đúng mới đánh giá chất liệu tốt rễ sử dụng phù hợp với tất cả mọi người mùa đông này thi thoảng xông hơi cũng rất tốt shop đóng gói cẩn thận giao hàng nhanh chóng,positive
"đúng với mô tả:đúng chất lượng sản phẩm:oke 5 ngày mới nhận được lều. lều dày dặn, khoá kéo ok, chưa xông nên chưa biết có ổn áp k",positive
"đúng với mô tả:đúng chất lượng sản phẩm:phù hợp với $ lều gấp gọn được , bung ra cũng to , shop trả lời nhiệt tình , giao hàng nhanh , màu giao ngẫu nhiên",positive
chất lượng sản phẩm:liều xông cao cấp đúng với mô tả:đúng với miêu tả shop đóng gói cẩn thận.ship hàng nhanh.đúng với miêu tả.chất dày dặng,positive
chất lượng sản phẩm:tốt đúng với mô tả:đúng lều dùng tốt ạ. vải mỏng nhưng rất chất lượng .shop đóng gói kỹ lưỡng giao hàng nhanh chóng. mình cám ơn shop nhiều ạ.,positive
"đúng với mô tả:đúng với mô tả chất lượng sản phẩm:hàng đẹp hàng đẹp, xin xò, hàng chất lượng sẽ ủng tiếp khi cần mua",positive
"đóng gói sơ xài quá, làm trầy gọng sắt, còn bị tét miếng kê gọng nữa",negative
"sản phẩm ok chất lượng tạm được chưa sd nên chưa biết, sẽ quay lại đánh giá sao",neutral
"chất lượng sản phẩm:đóng gói sơ sài, vận chuyển bị vỡ mất cái này",negative
hàng đúng gới hình nhưng khâu đings gói thì ko có hộp mà shop đóng luôn cho cái bao tải 🥲,neutral
nói chung thì cũng tạm ổn so với số tiền cũng không mong chờ gì nhiều . đóng gói cẩn thận dễ dàng lắp,positive
vận chuyển và đóng hàng siêu chán luôn ạ về bị xước và bẩn nhiều chỗ. nhưng vs mức giá như này tạm chấp nhận đc,neutral
sản phẩm dùng ok nhưng đặt hàng shop giao chậm nên 4 sao thôi. còn lại ok,neutral
"vẫn chưa lắp với dùng thử nên chưa biết đánh giá thế nào, nhưng thấy rẻ hơn những chỗ khác",positive
chất lượng sản phẩm:ok chất lượng tốt hàng chất lượng tốt shipper vui vẻ nhiệt tình có cơ hội sẽ mua lan sau nữa nkdkdidkdzuzuuz,positive
chất lượng tuyệt zời ạ ship nhanh đặt hôm trước hôm sau có sản phẩm rất tuyệt vời,positive
giao nhanh chất lượng tốt sẽ ủng hộ tiếp ảnh và video mang tính chất nhận xu 💓💓💓,positive
"chất lượng sản phẩm:sản phẩm ok như hình, mỗi cái khoản đóng gói nhìn chán quá, may k xước. thôi thì nó rẻ hơn các sho khác😅",neutral
ghế nhún chắc chắn. giao hàng nhanh chóng. bé nằm chơi cũng an tâm,positive
"chất lượng sản phẩm:ok ship hàng nhanh , ghế chắc chắn , giá rẻ hơn chỗ khác , gói hàng hơi ẩu nhưng ship về hàng còn nguyên vẹn",positive
"shop đóng gói và giao hàng nhanh, chất lượng sản phẩm phù hợp giá tiền, mỗi tội về con em vẫn chưa chịu hợp tác, nằm được tí xíu là hét, cái thanh đồ chơi ngắn quá, lắp vào sát với với tầm nhìn của bé, nên cao hơn để bé dễ nhìn hơn",positive
"chất lượng sản phẩm:tốt đóng gói hàng chắc chắn, ko bị vỡ, ghế chắc chắn nhưng bé nhà mình không thích lắm hic",positive
"chất lượng sản phẩm:ok hàng giá tốt nhất shopee. nhận hàng ưng. chắc chắn rễ dùng bé rất hợp tác chịu nằm chơi lâu mẹ nhàn hẳn. biết thế mua lâu rồi, cho shop 5 sao.",positive
chất lượng sản phẩm:tot bea nhà mình rất thích hợp với nhau mà sống cho con đi làm chi mô chi tiết,positive
ghế rất đẹp rất hài lòng với sản phẩm của shop.mọi người nên mua.rất phù hợp với các bé,positive
chất lượng sản phẩm:ok k cần phải nói trên cả toẹt vời rùi. chắc giá rẻ nhất thị trường r. nên mua,positive
"trẻ sinh mổ có hệ vi sinh mất cân bằng. miễn dịch kém hơn so với trẻ sinh thường, hay mắc bệnh synbiotic dinh dưỡng được chứng minh lâm sàng cho trẻ sinh mổ với synbiotic hỗ trợ hệ miễn dịch từ sớm hàm lượng cao dha giúp bé thông minh sữa bột aptamil profutura cesarbiotik new zealand số 1 chính hãng 380 g cho bé 0-12 tháng aptamil - synbiotic độc quyền hỗ trợ miễn dịch dành cho trẻ sinh mổ & sinh thường khỏe mạnh giàu canxi, vitamin d giúp răng và xương chắc khoẻ sữa mát & vị nhạt, thơm, dễ uống sữa aptamil số 1 là sản phẩm dinh dưỡng dành riêng cho bé từ 0 - 12 tháng tuổi. được sản xuất theo công nghệ hiện đại của new zealand và được chứng minh lâm sàng về tính hiệu quả và an toàn, sữa aptamil số 1 nhất định sẽ là sự lựa chọn phù hợp mà ba mẹ nên cho bé từ 0 - 12 tháng tuổi sử dụng. nuna baby mời ba mẹ tham khảo thêm thông tin chi tiết về sản phẩm này trong phần nội dung dưới đây. - ưu điểm nổi bật. thuộc tập đoàn dinh dưỡng hàng đầu châu âu - danone. có công thức synbiotic độc quyền kết hợp probiotic b.breve m-16v và prebiotics scgos: lcfos (9:1);. chứa canxi, vitamin k1 và vitamin d3. bổ sung dha chiết xuất từ tự nhiên. chứa đến 22 loại vitamin và khoáng chất thiết yếu.. trải qua quá trình sản xuất và kiểm định chất lượng nghiêm ngặt bởi các chuyên gia và tổ chức uy tín hàng đầu thế giới. - nhập khẩu từ: new zealand - hsd: 24 tháng",spam
ghế tốt em ái be nam rat thich. shop giao nhanh. mau sac dep sang trong,positive
"da mặt trước và sau khi của mình sau khi dùng kem dưỡng ẩm có sự thay đổi rõ rệt. da trở nên ẩm mướt, mềm mịn, không còn khô ráp, bong tróc như trước nữa. mùi kem thơm nhẹ, chất kem dạng gel mỏng nhẹ, thoa đến đâu mát dịu đến đó luôn. 5 sao cho sản phẩm và shop.",positive
"sản phẩm như hình pin sạt đầy dùng được 5 phút, không hiểu sao các bạn có thể đánh giá 5* được. các bạn mua sau xem hỏi kĩ shop lại thông tin.",positive
"ko tốt nha mấy mom, sạc đầypin để 1 ngày k dùng cũg hết,",negative
"mua về sạc ko vào điện,hết pin nhanh,hàng lỗi shop ko hoàn tiền cũng ko đổi sản phẩm khác",negative
"chất lượng sản phẩm:không hoạt động điều khiển hỏng, ko dùng đc",negative
lỗi k hoạt động dc hàng nhận k còn dc nguyên vẹn bị rách tơi tả,negative
"mua về vứt xó . ru ngủ mà tiếng kêu cót két làm e bé k ngủ đc , vỗ nấc nhỏ nhất vẫn mạnh",negative
sạc đầy để qua 1 đêm không sử dụng mà cũng hết pin,negative
"tốn tiền, mua loại có motor mà mới sử dụng được 2 lần là hư.",negative
"sản phẩm chán. về mới bóc ra đã k hoạt động luôn r. tưởng hết điện nên cắm sạc. thấy hiện đèn màu đỏ nhưng sau 1p tắt màu đèn đỏ, tưởng đầy nhanh, thế là rút điện ra thử bật cũng k chạy. 😂 hàng mua về chưa dùng đã hỏng. thất vọng thật sự. mình lại không ở vn. đen vậy",negative
hàng quá tệ xạc đầy sử dụng mức nhỏ nhất cũng chỉ đc 15p . trả hàng thì ship ko tới lấy. ko nên mua,negative
máy kêu rất to và cực kì nhanh hết điện nha . đập dc 1 lúc là kêu cót két như máy cày ngoài ruộng,negative
"xài được vài bữa thì kêu to , ồn lắm nha",negative
"không xài được, sạt xong mở ko lên",negative
sp kem k xài dc,negative
hang đểu k sd dc,negative
"xài đc 2 3 ngày thì kêu to, hoạt động ko đúng với những gì mình mong muốn. tay vỗ ru đc 15 20p . mà tay để vỗ ru ngủ nhưg kêu kiểu gọi bé dậy. chê",negative
"vỗ đc ngày đầu , sang ngày t2 bật lên n cứ kêu kẹt kẹt khó chịu lắm mua cho vui thôi",negative
phí tiền,negative
quá nhanh hết pin.,negative
ồn mà ko hiệu quả.,negative
chất lượng sản phẩm:tốt mới mua..cho bé sài ok lắm. . bé ngủ ngon hơn,positive
sản phẩm hình thức thì đẹp… nhưng thấy cực phí tiền khi mua… bin gì mà chưa dùng đã hết… công xạc cũng bực,negative
sản phẩm giống minh hoạ nhưng mau hết pin phải sạc nhiều lần. chưa hài lòng,negative
gang tay lúc nhận thì chắc tay nhưng mình dùng mới khoảng gần 1tháng đã có dấu hiệu hỏng yếu với giá này thì mình thấy hỏng hơi sớm mọi người nên xem xét,negative
"giao nhầm màu, đặt xanh cho bé trai nhận được màu hồng.",negative
shop đã hỗ trợ nhiệt tình. tuy nhiên lần thứ 2 sp vẫn lỗi ko sử dụng được. sự nhiệt tình vô ích,neutral
"con thích, nhanh hết pin, tự động ngắt, k vỗ con dậy:)) chán kb làm nào",negative
"đẹp ,mà sài tý hết pin ko biết phải làm sao . sài chắc dc 3phút",negative
giao hàng nhanh sp như mô tả hiện tại chưa dùng nên k bk có hữu dụng vs bé nhà mình hay k,neutral
"màu sắc dễ thương, shop gói hàng ko kỹ, hộp bị rách bung ra, test thử thấy sản phẩm dùng được",neutral
"sản phẩm phát ra tiếng ồn khá to, giao hàng đúng hẹn. dịch vụ khá ổn",positive
tệ sài dc 1tuần thj hỏng. máy thi sài 30p là het pin.,negative
hoạt động tốt nhưng có tiếng nên bé dễ bị tỉnh giấc nên ko dùng đc với các bé nhạy cảm với tiếng ồn,neutral
"hàng giao hơi lâu, nhưng sp dễ sử dụng!",positive
"theo mình thấy thì lực nhịp của bàn tay hơi yếu, ko biết dùng lâu dài tốt không nữa 🙂",neutral
chất lượng sản phẩm:đã hư mới mua về đã hư chưa sử dụng đã hư,negative
hình ảnh chỉ mang tính chất minh hoạ. chưa sử dụng nên chưa biết chất lượng ntn,neutral
sài ok nhưng điểm trừ là pin sài nhanh hết,positive
gặp chút vấn đề nhưng shop trả lời tn giúp mình giải quyết vấn đề. nên cũng tạm tạm,neutral
sản phẩm rất đẹp có điều hơi to và nặng so với bạn nhỏ ￼ giao hàng hơi chậm ￼,neutral
chất lượng sản phẩm:chưa biết yếu lắm luôn. chán kg muốn nói .,negative
"chất lượng sản phẩm:ok dễ thương, dày dặn. có điều nhanh hết pin, bật liên tục tầm 2 tiếng là hết, pin trâu hơn thì tuyệt vời. cho shop 4 sao !",positive
hàng đúng với mô tả vải khá mềm.mỗi tội tiếng mô tơ khi hoạt động hơi lớn,neutral
"shop ở nước ngoài, n đóng hàng và giao hàng nhanh. tay xinh, hoạt động tốt ạ. n chưa dùng lâu nên k biết đc bao lâu. nhắn hỏi thì shop bảo được tầm 2 tiếng.",positive
"chất lượng sản phẩm:tot giao hàng nhanh, chất lượng tạm hài lòng với số tiền, sẽ ủng hộ shop những lần sau nữa, sẽ đánh giá thêm sau sử dụng",positive
sản phẩm y mẫu quảng cáo đẹp. có 3 tốc độ vỗ. gói hàng đẹp. khi con ngủ yên thì mới dùng được chứ con mình đang quấy cũng ko có tác dụng gì nhưng đáng mua để khi con bớt quấy chắc có công dụng,neutral
"chất lượng sản phẩm:tốt giúp em bé ngủ ngon hơn, hạn chế giật mình khi ngủ, dễ ru em ngủ hơn, giảm mệt mỏi cho mẹ",positive
"shop giao hàng nhanh, đóng gói kĩ, bàn tay ổn nha, bé mình ngủ ngon mình dễ làm công việc khác, giá rẻ hơn shop khác, nên mua nhen mình có người nhà đem về tặng phấn mắt & son, mascara của lancôme, unique, mình pass rẻ chỉ 95k đổ về thui, b nào có nhu cầu ghé shopee mình xem nhé !",positive
nhìn cưng nha. dễ sử dụng nữa. nên mua. giá săn sale quá ổn áp... nào chuẩn bị sinh lại làm thêm cái nữa 🤭,positive
"sp siêu chất lượng lun ạ, vải mịn nặng tay hoạt động tốt lắm, e bé mình ngủ ngon nhờ cái này",positive
"bàn tay vỗ mông cho bé này rất hợp lý. mình thử thì có điều chỉnh được biên độ vỗ. cái phần động cơ này tách riêng ra được, dễ vệ sinh giặt giũ.",positive
"cũng được, tự mình test thấy cũng hay ho, cũng ổn, mua để sau này dỗ con ngủ chơi chơi chắc cũng ổn, cắm sạc điện không biết dùng được bao lâu nữa, giá cũng rẻ",positive
chất lượng sản phẩm:nặng tay chất lượng 10đ giao hàng quốc tế mà rất nhanh nha.hàng đẹp xinh nên mua nha mn.có nút điều khiển rất tiện luôn.hhhhhh,positive
"chất lượng sản phẩm:tot giao hàng nhanh, đúng màu đúng mẫu. mong là embe sẽ hợp tác",positive
"sản phẩm [tên sản phẩm] đã đáp ứng hoàn toàn kỳ vọng của tôi! chất lượng sản phẩm rất tốt, đúng như mô tả. [mô tả chi tiết về chất lượng sản phẩm: ví dụ: vải mềm mịn, màu sắc tươi sáng, kích thước vừa vặn...] tôi rất hài lòng với sản phẩm này và tôi sẽ giới thiệu nó cho bạn bè và gia đình.",positive
"chất lượng sản phẩm:ok mua về vỗ về, trấn an bé ok lắm mn ơi. nên mua nha. sp sạc lâu và nhanh hết pin thui. nên mua loại có điều khiển vì khoảng 15p sẽ tự động tắt nên ngồi xa cũng bấm được cho con",positive
chất lượng sản phẩm:tốt thấy cũng vui vui. ko biết có tác dụng ko nữa. chờ sinh rồi sử dụng xem thế nào. cảm quan nhìn nó hơi bé. chắc ko dùng được lâu. shop đóng gói cẩn thận. quốc tế nên có phần hơi lâu. shop hướng dẫn kỹ cách sử dụng. nói chung sau khi dùng mới đánh giá được chất lượng sản phẩm ạ,neutral
"chất lượng sản phẩm:tốt giao hàng nhanh, bàn tay gấu mềm mịn, hoạ tiết dễ thương, trộm vía con mình hợp tác lắm, mới vỗ vài cái đã lim lim mắt ngủ r, đỡ mỏi tay biết bao nhiêu, có chế độ tự ngắt nghỉ, tuy nhiên cũng nhanh hết pin, hy vọng shop đổi loại nào lâu pin hơn để em mua đợt sau🥰❤️",positive
shipper làm mất hàng mặc dù mình đã trả tiền trước nên không thể làm gì được,negative
mình đặt 2 bộ giao 1 bộ gọi lại hứa hôm này đến hôm khác giao nốt cho mk bộ kia xong bắn trả tiền mk rồi nhưng mk.bảo mk lấy hàng hẹn sẽ giao mà 3 4 hôm rồi k thấy gì. shop làm ăn chán lắm. giao thiếu gối nữa,negative
k co gối đầu .giá lại cao xấu. treo thịt dê bán thịt chó..... sản phẩm kém,negative
shipper làm biếng giao hàng không bước xuống xe nổi,negative
chất lượng sản phẩm:ok giao hàng nhanh đúng với sản phẩm chua dùng nên không biết thế nào đánh giá sau,positive
shop giao thiếu đồ,negative
phần lưới nằm ở phần lưng bị nhùng .bé nằm bị gập cổ,negative
đẹp mà cái đồ chơi bị gãy chấu :(,neutral
"chất lượng sản phẩm:ok nhân đc hàng rồi,thấy cũng ok đấy,mình mới chỉ lắp thủ ,chưa cho bé nằm,chưa biết chát lượng tốt ko",positive
ghế nhún có chất lượng nhưng cái móc treo thì bị rớt hoài nên k thích cho lắm,neutral
đã nhận sản phẩm thấy rất hài lòng đánh giá 5 sao cho shop . sẽ ủng hộ shop lần sau,positive
chất lượng sản phẩm:rất tốt ghế nhún cho bé. đồ chơi đi kèm. đóng gói cẩn thận. giao hàng rất nhanh,positive
"mới cho con nằm thì có vẻ thích thú, nhưng phần lưới chũng quá bé nằm khòm lưng và khó chịu! chỉ nằm tí lại phải bế ra. sản phẩm chắc chắn, về lâu dài thì chưa biết đc.",negative
"❌❌vỉ gác chảo inox sỉ💰10k/cái 🌈🌈đồ ăn ráo dầu ngon lại càng ngon 👉vỉ gác chảo với thiết kế đơn giản nhưng khá tiện ích, giúp bạn đặt thức ăn đã chiên rán lên trên gác cho món ăn luôn thơm ngon nóng giòn hạn chế tối đa dầu mỡ. gác chảo làm từ inox nên vệ sinh dễ dàng và bảo vệ sức khỏe 👉gác chảo inox có thiết kế với 3 - 5 móc để bám vào chảo một cách chắc chắn, chịu lực tốt, có thể để nhiều đồ chiên lên vỉ",spam
sản phẩm giống với mô tả mà mua về ku nhà mình nhỏ chưa hợp tác hi vọng lớn tí sẽ nằm để mẹ làm việc,negative
"màu sắc đẹp,giá rẻ so với cấc shop khác. nói chung là ok nên mua",positive
"shop tư vấn nhiệt tình, hiểu ý khách hàng, giao hàng nhanh, mặt hàng rất ưng ý.",positive
sản phẩm này ok khuyến khích mọi người lên mua,positive
giao hàng nhanh.sp rất tốt.,positive
"hàng đẹp chất lượng 👌bé nằm rất thích ,đt chụp xấu nên ko đang hình",positive
lỏng lẻo .con chưa nằm lên chưa biết thế nào . giao hàng nhanh .,neutral
"chất lượng sản phẩm:tốt shop giao nhanh,đúng xe,sẽ ủng hộ lần sau",positive
chất lượng sản phẩm:đúng vs mô tả nên mua nha mọi người,positive
đồ đẹp. ủng hộ shop. chất lượng phù hợp giá tiền. đánh giá 5 sao,positive
sp khá là ok tuy giao hàng hơi lâu,positive
"đối tượng sử dụng:trẻ em chất lượng sản phẩm:hàng giả mùi hương:khác biệt hoàn toàn với các sản phẩm chính hãng sản phẩm fake nhé mọi người, mình xài loại này mua chính hãng 3 năm nay, nay mua thử loại rẻ này thì mùi khác hoàn toàn rất nồng, team nhãn mờ, mình lật đật ra mua 1 chai chính hãng mắc x2 so sánh đặt kế bên thì đúng là một trời một vực, chưa kể lên mạng xem nhận diện hàng fake là đúng y như cái shop này bán! ib shop cũng không trả lời! lên tra thì thấy nhái tên shop của gian hàng chính hãng có tick xanh nữa!",negative
"mình ko biết bên đây có phải bán hàng thật ko,nhưng sao sản phẩm mình mua về so với bên chính hãng(bên trái mình mua shoppe mall của centaphil,bao bì đậm hơn,chất thì hơi lỏng,mùi nhẹ) bên phải là của shop thì hình ảnh mờ nhạt,chất thì đặc mùi thì nồng.",negative
"đối tượng sử dụng:trẻ em mùi hương:thơm hơn bình thường chất lượng sản phẩm:chưa biet mình có đặt của shop 2 chai nhưng có vẻ nó ko giống hàng chuẩn. chữ và hình ảnh mờ. tem mã cũng mờ, nhìn có vẻ giống y hệt nhưng mình đã so với chai cũ đang dùng thì nghi đây là hàng giả. mùi thơm thì thơm quá mức cho phép so với dòng dịu nhẹ này. mình mua cho cả trẻ sơ sinh dùng nên hơi lo lắng. màu xanh của nút chai cũng xanh rất nhợt nhạt. nên suy nghĩ trước khi mua, vì bận nên chỉ kip chup ảnh nhanh 2 chai.",positive
"chất lượng dởm, sữa rửa mặt có mùi khó chịu hàng nhái khác hẳn mua tại hiệu thuốc, hoàn hàng mà bị huỷ.",negative
"mùi hương:nồng mùi nước hoa chất lượng sản phẩm:dỏm đối tượng sử dụng:trẻ em sản phẩm tệ, nắp vòi bump như hàng nhái, tem in mờ không rõ, mùi hương liệu k như hàng thật, chất sữa tắm cũg khác",negative
chất lượng sản phẩm:hàng nhái hàng fake nha mọi người ơi mình lua sản phẩm của shop bên trái và sản phẩm của shop khác bên phải nó khác rõ rệt,negative
"lúc mua ko đọc review, hàng fake rồi... mọi người cẩn thận nha",negative
shop giao hàng bị chảy nt thì lại ko phản hồi. ko cố định kĩ cổ vòi nên bị chảy ra. quá bất bình vì nt mãi shop ko trả lời,negative
"chất lượng sản phẩm:quá tệ mùi hương:quá nồng hàng giả nhé. chữ trên sản phẩm mờ, nắp chưa xài đã gãy, bên trong có lò xo đẩy. hàng thật ko có lò xo. giá thì gần ngang với hàng thật. mọi người nên cẩn thận với loại cửa hàng này",negative
hàng đầy đủ nhưng chai sữa tắm bị đổ ra không biết có ảnh hưởng đens chất lượng không nữa,positive
"hàng giả, sản phẩm lừa đảo. khui ra sài thấy mùi đã không đúng r. mà nghĩ chắc nó bỏ loại sửa tắm cho bé khác. sài mấy hôm thấy chỗ sữa tắm bám thành chai bị oxy hoá đen xì, da mặt thằng nhỏ thì sần sùi. nãy mới rữa cái cổ chai luôn.",negative
hàng giả không có tem phụ . mùi không đúng . lừa đảo,negative
"thấy page ghi chữ chính hãng nên mua thử. về cầm chai mua ở store với chai này là nhìn biết fake liền. nước sữa tắm là hàng đc pha, nghe mùi khác. giao diện chai khác hẳn với chai hàng thật",negative
"hàng nhái nhé mn lưu ý, hàng real chữ in nổi hoa văn rõ ràng, còn của shop này chữ chìm, mờ hoa văn nhoè nhìn khá giống hàng real. đánh giá 1 sao",negative
"chất lượng sản phẩm:hàng fake mùi hương:thơm hàng fake, đừng nên mua nha mn, muốn so sánh thật giả có trên tiktok, e mới lên xem. chữ trên chai nổi và đậm rõ nét không như sản phẩm của shop này, chữ trên chai mờ, k rõ nét, chữ không phải in dập nổi như hàng real đâu",positive
mùi hương:thom đối tượng sử dụng:trẻ em chất lượng sản phẩm:ok 2* vì shop đóng hàng quá ẩu.mở mút ra chảy tùm lum.lần sau shop chú ý hơn ạ.,positive
"chất lượng sản phẩm:chua dung nen chua biet mùi hương:thơm đối tượng sử dụng:trẻ em nhận hàng mà sữa tắm chảy toe toét hết ra, ko biết là đóng gói tệ hay là shop ship cho chai dở. ngoài mùi sữa tắm rất thơm ra thì ko hài lòng tí nào",negative
"đóng gói ẩu, bị chảy tùm lum. giao có 1 chai thoi đâu ra combo 2 chai?!",negative
